Description,Object ID
休·C·罗伯逊（Hugh C. Robertson）自幼便对陶瓷工艺情有独钟，他对陶瓷工艺充满热情，并乐于尝试。他出身于英国，世家出身，在新泽西州磨练技艺，之后定居马萨诸塞州，成为切尔西陶瓷艺术工作室（Chelsea Keramic Art Works）及后来戴德姆陶器（Dedham Pottery）的创始人之一。罗伯逊毕生致力于釉料的探索，尤其关注其色彩和纹理，这使他成为二十世纪初美国艺术陶艺界的关键人物之一。19世纪80年代，罗伯逊将注意力更多地转向研发新的釉料配方和陶土坯体。在80年代中期，他开始痴迷于备受追捧却又难以捉摸的牛血釉（sang-de-boeuf），这一探索也成为他后期职业生涯的标志。这种色彩丰富的血红色釉料传统上采用铜基配方制成，并在窑中烧制。窑中会加入湿稻草和其他材料，使空气中缺氧，从而使氧化铜釉变成鲜艳的红色。虽然中国陶工在早期就偶尔制作铜红色釉料，但直到明朝 (1368-1644)，陶瓷工匠才改进了这项技术，能够持续产出颜色鲜艳的釉料。然而，此后不久，生产就中断了，秘密也就随之失传。大约在 1680 年，铜红色釉料的秘密被重新发现，并且这种釉料的生产一直持续到十八世纪。1885 年 4 月，罗伯逊成为第一个成功复制牛血釉的美国人，他将他的新牛血釉展示在他用于单色釉料的相同中国风格器皿上。他对自己取得的成就引以为豪，并将新釉料的变种分别命名为“龙血釉”、“切尔西血釉”和“罗伯逊血釉”。1887年，罗伯逊表示，在“努力掌握‘血釉’”的过程中，他“发现了许多效果令人愉悦的变化，而且据我所知，这些变化完全是全新的”。埃里森收藏中珍藏的切尔西血釉器色泽丰富多样，从深红色到火红的橙红色，从明亮的覆盆子色到略带紫色的深红色，应有尽有。这只花瓶出自罗伯特·A·埃里森小收藏的美国艺术陶器，于2017年和2018年捐赠给大都会博物馆。该藏品的创作年代可追溯至19世纪70年代中期至20世纪50年代。它们共同构成了迄今为止最全面、最重要的切尔西血釉藏品组合之一。,846
休·C·罗伯逊（Hugh C. Robertson）自幼便对陶瓷工艺情有独钟，他对陶瓷工艺充满热情，并乐于尝试。他出身于英国一个技艺精湛的陶瓷世家，在新泽西州磨练技艺，之后定居马萨诸塞州，成为切尔西陶瓷艺术工作室（Chelsea Keramic Art Works）及后来戴德姆陶器（Dedham Pottery）的创始人之一。罗伯逊毕生致力于釉料的探索，尤其关注其色彩和纹理，这使他成为二十世纪初美国艺术陶艺界的关键人物之一。19世纪80年代，罗伯逊将注意力更多地转向研发新的釉料配方和陶土坯体。在80年代中期，他开始痴迷于备受追捧却又难以捉摸的牛血釉（sang-de-boeuf），这一探索也成为他后期职业生涯的标志。这种色彩丰富的血红色釉料传统上采用铜基配方制成，并在窑中烧制。窑中会加入湿稻草和其他材料，使空气中缺氧，从而使氧化铜釉变成鲜艳的红色。虽然中国陶工在早期就偶尔制作铜红色釉料，但直到明朝 (1368-1644)，陶瓷工匠才改进了这项技术，能够持续产出颜色鲜艳的釉料。然而，此后不久，生产就中断了，秘密也就随之失传。大约在 1680 年，铜红色釉料的秘密被重新发现，并且这种釉料的生产一直持续到十八世纪。1885 年 4 月，罗伯逊成为第一个成功复制牛血釉的美国人，他将他的新牛血釉展示在他用于单色釉料的相同中国风格器皿上。他对自己的作品引以为豪，并将新釉料的变种分别命名为“龙血”、“切尔西血”和“罗伯逊血”。1887年，罗伯逊表示，在“努力掌握‘血’”的过程中，他“发现了许多效果令人愉悦的变化，而且据我所知，它们完全是全新的”。大都会艺术博物馆埃里森收藏的切尔西血釉器数量惊人，色彩丰富，从深红色到火红的橙红色，从明亮的覆盆子色到略带紫调的深红色，不一而足。罗伯逊尤其偏爱他的某些铜红色釉料。 1889年，罗伯逊在写给艾伦·马昆德（Allan Marquand）的信中，特别提到他的“橘皮血色釉彩远胜于光滑釉彩，马昆德是一位对陶瓷尤为感兴趣的普林斯顿大学杰出教授。罗伯逊指出，这种釉彩“并不常见”，而且“能呈现出更丰富多样的效果”。罗伯逊所观察到的丰富质感在这件矮胖的球形花瓶上得以体现，花瓶表面带有微妙的凹坑纹理，与橙皮纹路相似，而这正是某些中国釉彩的特征。这件花瓶出自罗伯特·A·埃里森（Robert A. Ellison Jr.）收藏的美国艺术陶器，于2017年和2018年捐赠给大都会博物馆。该藏品的创作时间跨度从19世纪70年代中期到20世纪50年代。它们共同构成了迄今为止最完整、最重要的此类材料组合之一。,847
休·C·罗伯逊 (Hugh C. Robertson) 自出生起就对陶瓷产生了浓厚的兴趣，他对陶瓷工艺有着极大的热情和实验精神。他出生于一个训练有素的英国陶瓷艺人家庭，在新泽西州磨练技艺，之后定居马萨诸塞州，成为切尔西陶瓷艺术作品公司 (Chelsea Keramic Art Works) 和后来的戴德姆陶器公司 (Dedham Pottery) 的创始人之一。罗伯逊一生致力于釉料的探索，尤其是其颜色和质地，这使他成为 20 世纪初美国艺术陶器的关键人物之一。在追求理想的牛血釉的同时，罗伯逊还开创了其他釉料技术，其中包括 1886 年首次发明的裂纹釉。这种独特的釉料具有可见的细密裂纹网络，是东方陶瓷的主要特征，而西方人往往不会效仿，因为他们认为这种裂纹是一种缺陷。罗伯逊欣赏其美学价值，完善了一种通体白色裂纹釉，这种釉面通常在表面绘有钴蓝色装饰，其灵感源自当时追求美学的收藏家所追求的中国青花瓷。本例描绘了一只在水流中畅游的海豚。与早期的裂纹瓷器不同，这种釉料呈现出更明显的整体裂纹，其“瑕疵”在将热釉花瓶放入冷空气中迫使釉面收缩开裂后，再将炭黑涂抹到裂纹网络中，进一步凸显。该陶器厂还开始生产带有精美蓝色边缘的裂纹餐具。这些裂纹瓷盘碟专为非正式的早餐和午餐用具而设计，与当时青花瓷的普遍流行趋势相得益彰，并获得了商业上的成功，最终成为当时陶器的主流。这件花瓶出自罗伯特·A·埃里森·Jr. 美国艺术陶器收藏，于2017年和2018年捐赠给大都会博物馆。该藏品的创作年代可追溯至19世纪70年代中期至20世纪50年代。它们共同构成了迄今为止此类陶器最完整、最重要的藏品之一。,848
休·C·罗伯逊 (Hugh C. Robertson) 自出生起就对陶瓷产生了浓厚的兴趣，他对陶瓷工艺有着极大的热情和实验精神。他出生于一个训练有素的英国陶瓷艺人家庭，在新泽西州磨练技艺，之后定居马萨诸塞州，成为切尔西陶瓷艺术作品公司 (Chelsea Keramic Art Works) 和后来的戴德姆陶器公司 (Dedham Pottery) 的创始人之一。罗伯逊一生致力于釉料的探索，尤其是其颜色和质地，这使他成为 20 世纪初美国艺术陶器的关键人物之一。在追求理想的牛血釉的同时，罗伯逊还开创了其他釉料技术，其中包括 1886 年首次发明的裂纹釉。这种独特的釉料具有可见的细密裂纹网络，是东方陶瓷的主要特征，而西方人往往不会效仿，因为他们认为这种裂纹是一种缺陷。罗伯逊欣赏其美学价值，完善了一种通体白色裂纹釉，并经常在釉面绘以钴蓝色装饰，以此致敬当时追求美学的收藏家所追捧的中国青花瓷。1891年，他的陶器作坊以切尔西陶器（Chelsea Pottery）的名义重新开业后，罗伯逊继续创作裂纹瓷器，例如这件花瓶，其表面以钴蓝色自由绘有飞蛾或蝴蝶图案。与早期的裂纹瓷器不同，这种釉料呈现出更明显的整体裂纹，其“瑕疵”在将热釉花瓶放入冷空气中迫使釉面收缩开裂后，再将炭黑涂抹到裂纹网络中，从而进一步凸显。该陶器作坊还开始生产带有精美蓝色边缘的裂纹餐具。这些裂纹瓷盘碟专为非正式的早餐和午餐用具而设计，与当时青花瓷的普遍流行趋势相得益彰，并获得了商业上的成功，最终成为当时陶器行业的主流。这件花瓶出自罗伯特·A·埃里森·Jr. 美国艺术陶器收藏，于2017年和2018年捐赠给大都会博物馆。该藏品的创作年代可追溯至19世纪70年代中期至20世纪50年代。它们共同构成了迄今为止此类陶器最完整、最重要的藏品之一。,849
阿德莱德·阿尔索普·罗宾诺（Adelaide Alberto Robineau）是美国最受尊敬的陶艺家之一，她独自在纽约州锡拉丘兹的工作室里，以高难度的瓷器为创作媒介。她是一位成功的瓷器画家和教师，还与丈夫塞缪尔（Samuel）合作出版了极具影响力的期刊《陶瓷工作室》（Keramic Studio）。她创作的艺术瓷器超越了任何一位美国工作室陶艺家的作品。尽管她通常更喜欢拉坯而非浇铸，但在大约1905年，她制作了一系列覆盖结晶釉的注浆浇铸器皿，希望这些高效的器皿比她那些劳动密集型的雕刻作品更具商业价值。罗宾诺一改以往的独立创作方式，聘请了两名男助手来制作模具、浇铸并固定器皿。这件作品带有她短暂浇铸作品的印记，其紧致的设计，尤其是覆盖其表面的结晶釉，使其格外独特。晶体结构包裹着器皿的上半部分，并随意地落到下半部分。然而，这种方法的潜在盈利能力并不足以让罗宾诺继续制作这些花瓶；她并不喜欢这种没有手工的制作过程。这件花瓶来自罗伯特·A·埃里森·Jr.收藏的美国艺术陶器，于2017年和2018年捐赠给大都会博物馆。该藏品的创作年代可追溯至19世纪70年代中期至20世纪50年代。它们共同构成了迄今为止此类材料最全面、最重要的藏品之一。,851
辛辛那提的 M. Louise McLaughlin 不仅是美国巴博丁技法的先驱，还精通许多其他陶瓷工艺。在她作为瓷器绘画、釉下泥彩装饰和瓷器制作领域的领军人物的整个职业生涯中，她不断迎接技术挑战。1873 年，26 岁的她在辛辛那提大学麦克米肯设计学院（后来的辛辛那提艺术学院）开始了她的职业生涯。1874 年，她首次尝试瓷器绘画，当时学校的英国木雕老师 Benn Pitman 邀请感兴趣的学生尝试这种新媒介。1876 年百年展览会后不久，McLaughlin 便开始创作瓷器釉上绘画和法国新釉下泥彩画，即巴博丁。然而，巴博丁并不是 McLaughlin 追求的唯一釉下技法。大致在创作巴博廷陶器作品的同时，她还制作了少量釉下钴蓝色装饰的盘子。根据现存的年代样品，她在1877年至1880年间断断续续地创作了这些器物。这件1880年的盘子就属于这一实验系列。她用钴蓝色颜料绘制图案，并将其绘制在一块由弗雷德里克·达拉斯的汉密尔顿路陶器厂（同样位于辛辛那提）制造的商用白色铁石坯料上，并可能在那里烧制。图案采用当时流行的日式风格，以不对称排列的田野草和带有海景的矩形边框为特色。这件花瓶来自罗伯特·A·埃里森二世收藏的美国艺术陶器，于2017年和2018年捐赠给大都会博物馆。该藏品的年代可追溯至19世纪70年代中期至20世纪50年代。它们共同构成了迄今为止最全面、最重要的此类陶器组合之一。,853
玛丽·齐默尔曼是美国工艺美术运动的领军人物之一。她的作品极具原创性，风格独特，涵盖了多种媒介。这件碗和碗架尤其体现了她独特的彩色金属制品的精髓。齐默尔曼的铜绿和彩色金属制品一经推出，便广受好评，评论界也赞誉有加。1922年，《家居与花园》杂志将齐默尔曼描述为“一位罕见的艺术家兼工匠……色彩是她成就价值的重要组成部分。她以新颖的方式处理金属，尤其是铁和铜，通常采用简洁、宽阔的花朵状轮廓和铜绿，其色泽从古柏玻璃的金色到中国珐琅的深红色，再到东印度绿松石的蓝色，以及逐渐过渡到银色和金色的铜绿。”文章特别赞扬了一件“放置在锻铁支架上的、有着华丽蓝色光泽的矮铜碗”，并接着指出“她的铜花盘也许是她在装饰金属方面最具独创性的成就”。,854
无描述信息,855
无描述信息,856
威廉·H·范德比尔特，康奈利厄斯·“准将”·范德比尔特之子，继承了巨额财富和利润丰厚的运输业务。他将其业务迅速扩张，成为美国最富有的人之一。1879年，为了彰显其社会和经济地位的提升，他在第五大道（第五十一街和第五十二街之间）建造了一座横跨整个街区的豪宅。他委托纽约市首屈一指的橱柜制造公司之一赫特兄弟 (Herter Brothers) 来装饰和布置他的家。在为豪宅的每个房间设计独特的装饰方案时，赫特兄弟从各种历史风格中汲取灵感，并使用昂贵的异国材料。1915 年至 1916 年间重新装修住宅以及 1946 年拆除时，房子里的原始家具散落各地。其中许多物品直到近年来才重见天日。客厅里最引人注目的发现或许是这张带有原始软垫的女士安乐椅 (bergère)，它与一张更大的男士安乐椅配对。椅子的两侧，两只相对的狮鹫兽展开翅膀在中心连接，两侧是盾形图案和珍珠母圆形装饰，周围环绕着蜿蜒的绳索状元素。大胆的转弯腿呈莲花形状。这件中国风格的金色底色上镶有空心红色丝绸天鹅绒，红色丝绸流苏和金绳上饰有精致的簇绒格子饰边，是一件非同寻常的幸存品。,857
无描述信息,858
十九世纪晚期，在巴黎和维也纳，装饰有肖像、花卉或鸟类图案，并以浮雕金箔包边的橱柜盘十分流行。布鲁诺·盖尔是一位鲜为人知的维也纳艺术家，擅长模仿欧洲绘画创作肖像画。这幅盘子上是一幅模仿安吉丽卡·考夫曼创作的自画像的复制品。画作精湛的细节和阴影处理，以及浮雕金箔包边的运用，都彰显了艺术家的精湛技艺。该包边设计的原始图纸名为“蒂芙尼特制版”，现藏于莱诺克斯公司档案馆；该名称指的是拥有这些盘子独家销售权的奢侈品商场。图纸上注明该包边设计为“盖尔头像”（Geyer Heads），表明该设计是专门为艺术家的肖像画创作的。,859
十九世纪下半叶，几乎所有媒介都涌现出极具装饰性的艺术作品。这一时期的玻璃工匠们不断尝试新技艺，引入大胆的色彩效果，并融入异域风情。许多新的艺术玻璃系列模仿了其他材质。这件巨大的花瓶仿制了著名的中国瓷器桃花釉。新英格兰玻璃公司将其命名为“野玫瑰”，并于1886年3月2日获得专利。这种不透明的玻璃颜色从底部的白色到顶部的浅粉色再到深玫瑰色，呈现出不同的色调。这件作品的尺寸之大前所未有，因为大多数此类玻璃花瓶的高度通常在5或6英寸到15英寸之间。其细长的百合花形、喇叭状的花瓣状瓶口和褶边，使其成为一件极其优雅的典范。,860
无描述信息,861
无描述信息,862
这幅引人注目的宾夕法尼亚刺绣画作完成于1819年2月，以其简洁而凄美的冬日风景描绘，在联邦刺绣作品中独树一帜。简洁的构图表明，创作者是自己绘制的设计，甚至可能是她自己的房子，而非从已出版的版画或素描本中抄袭而来。,863
无描述信息,864
无描述信息,865
无描述信息,866
日本刀剑柄的各个部件在刃器史上独树一帜，因为它们既被视为刀剑的功能部件，又被视为独立的艺术品。其中最突出的部件是剑锷（tsuba），即将刀身底部与剑柄顶部隔开的盘状护手。剑锷的装饰涵盖了广泛的主题：自然场景、世俗故事，以及这件剑锷所展现的宗教象征。此件剑锷由铁制成，以高浮雕雕刻，并镶金。它描绘了菩提达摩生平中一个著名的故事，菩提达摩在日本被称为“菩提达摩”（Bodaidaruma）或“达摩”（Daruma），传统上被认为是印度佛教的第二十八代祖师，他在六世纪在中国创立了禅宗。茶庵佛教源于印度佛教与中国本土道教的融合，于 9 世纪传入日本，被称为禅宗，并在 12 世纪后蓬勃发展。这幅图展现了达摩正在进行的传奇坐禅，这是一种静止无念的冥想形式，据说他已经保持了九年的完美静止状态。他经常以这种沉思状态出现在图鞫和其他日本艺术作品中。艺术家喜寛（Yoshihiro），本名野田宇八（Noda Uhachi），是第一代土屋安亲（Tsuchiya Yasuchika，1670-1744）的学生。他出生于元禄六年（1693 年），据说死于明和二年（1765 年）左右。,867
刀架上覆以树皮漆成的剑鞘，饰以枫叶和蝉形饰物。剑柄（kurigata）由蜗牛构成，剑柄（menuki）饰以蛇形，该设计很可能借鉴了东亚流行的一种手牌游戏（日语：三すくみ拳），这种游戏后来以石头剪刀布的形式传入西方。第三个元素可能是青蛙。在中国，蜗牛被蜈蚣所取代，有趣的是，蜈蚣出现在这把刀的剑柄（tsuba）上。这把刀的制造者重武（Shigetake）活跃于18世纪的江户，但他的家族传承尚不清楚。,868
胁差是一种短剑，刀刃长度在 30 到 60 厘米之间，通常与长剑（武士刀）一起佩戴。胁差在室町时代（1392-1573 年）及以后很流行。,869
无描述信息,870
无描述信息,871
无描述信息,872
无描述信息,873
无描述信息,874
无描述信息,875
无描述信息,876
无描述信息,877
无描述信息,878
无描述信息,879
无描述信息,880
无描述信息,881
无描述信息,882
无描述信息,883
无描述信息,884
无描述信息,885
面具在日本文化中一直扮演着重要的角色，例如宗教仪式、舞蹈、能剧和军装。对于武士来说，面具是主要的面部防护手段，有助于将头盔更牢固地固定在头部。大多数面具为半身面具（mempō），遮盖住鼻子和眼睛下方的面部。它们的铁制表面通常涂有漆或深赤褐色；内部通常涂有红色漆。除了半身面具外，大都会博物馆的藏品中还罕见地收藏了大量全身面具（somen）。这些面具大多来自和平的江户时代。在那个时期，像明镇家族这样的盔甲工匠以制作种类繁多的面具为荣，以此来展示他们的创造力和著名的金属加工技艺。,886
无描述信息,888
无描述信息,890
无描述信息,891
无描述信息,892
无描述信息,893
无描述信息,894
大剑是一种基于中国原型的直刃双刃剑，在日本至少从公元三世纪到六世纪一直被使用。在公元三世纪末期，双刃剑逐渐被单刃剑取代，之后所有日本刀剑均由单刃剑发展而来。这把大剑是在日本最著名的早期古墓之一——江田船山古坟（位于日本南部九州岛的熊本县）中发现的。该古坟于1873年首次发掘，出土了许多珍稀文物，包括珠宝、王冠、礼鞋、盔甲部件、镜子以及数把刀剑，品质都非常高。这一时期的刀剑极为罕见，展现了日本刀剑刃发展的早期阶段。这把刀于1906年赠予大都会艺术博物馆，作为与东京帝国博物馆艺术品交换的一部分。此次交换由时任大都会博物馆武器盔甲荣誉馆长的巴什福德·迪恩博士促成。1965年，此次发掘的剩余文物被正式指定为国宝，这是日本对文物的最高级别。它们现藏于东京国立博物馆。,895
这件马镫是从奈良县和田市的古墓中出土的，是日本最早使用的马镫类型的一个例子，可能是从中国或韩国进口的。,896
无描述信息,897
无描述信息,898
无描述信息,899
无描述信息,900
这套铠甲无疑是为一位高级武将所穿，与乾隆皇帝1757年赠予西藏寺庙的一套铠甲十分相似。,901
这种封闭式或“盒式”马镫（tsubo abumi）可能起源于中国，并出口到日本。,902
这顶头盔是现存最早的文艺复兴时期仿古盔甲（armorall'antica，意为“古代盔甲”）的样本。狮头由浮雕镀金铜制成，覆盖在底层的普通钢盔上。它象征着涅墨亚狮子的头部，神话英雄赫拉克勒斯曾将涅墨亚狮子的毛皮用作头饰和斗篷。赫拉克勒斯在文艺复兴时期的艺术作品中经常被描绘成不屈不挠的力量、勇气和毅力的象征。,903
无描述信息,904
这顶罕见的日本头盔出土于三重县伊势国。其结构——水平环上铆接矩形鳞片——可能是从中国或朝鲜传入的。这种头盔大多由铁制成，但也有一些由镀金铜制成，可能用于仪式展示。这顶头盔的独特之处在于它结合了两种材质。,905
无描述信息,906
萨克森公国的完整国徽上方是一顶选帝侯帽，两侧是字母组合“CHGHZSC”，意为“克里斯蒂安（和）汉斯·格奥尔格，萨克森公爵，选帝侯”。这顶帽子制作于1607年至1611年间，当时克里斯蒂安一世与其兄弟汉斯（或约翰）·格奥尔格共同统治。,907
在整个十六、十七世纪，西洋剑一直是平民主要的随身武器。西洋剑专为技法逐渐复杂的刺杀式击剑而设计，其特点是双刃剑身，剑尖锐利，并配有精致的手部护手。护手通常由铁或钢制成，并带有各种装饰。它们被雕刻、凿刻、镀金、镶嵌，并根据当时的时尚风格镶嵌金银。除非另有说明，此处的材料、属性和年代均指剑柄。西洋剑的剑刃通常由钢制成，带有各种制造商标记，表明其产地是两个主要的剑刃制造中心——西班牙的托莱多和德国的索林根。,908
这件盔甲反映了西方对日本的几波影响。头盔仿照16世纪晚期荷兰的一件卡巴塞特盔甲，由日本盔甲工匠早乙女家忠制作，其签名可见于盔甲碗内。胸甲似乎是19世纪早期欧洲制造的。这些古老的元素由更现代的元素补充，并由一位日本工匠使用西方蚀刻工艺，饰以佛教神祇和文学人物。头盔上饰有久留米大名有马家族的徽章。,909
相传此剑出土于河南洛阳城北邙山的一座帝王陵墓中，环柄上嵌有凤首。,910
据说这把剑出土于河南洛阳北部邙山的一座帝王陵墓中。P形剑鞘可能源自游牧民族萨尔马提亚人和萨珊人骑兵所佩戴的长剑，是日本太刀（斜挎剑）的原型。环柄呈双龙对峙之状。,911
无描述信息,912
虽然如今日本武士以剑术闻名，但弓箭，尤其是骑马射箭，几个世纪以来一直是武士战争和文化的重要组成部分。根据其在战争、狩猎或射击练习中的用途，箭头的形状各不相同。战场上使用的箭头采用不同的设计，旨在实现特定目的，例如刺穿盔甲或对马匹和未穿甲人员造成最大伤害。大型箭头上镂空并精心雕琢着山水、鸟兽、花卉、龙和佛教神祇等图案，其制作目的并非用于射箭，而是欣赏其金属工艺和设计的美感。这些精美的箭头可能是为了展示或作为神社的供品。,913
在满族射箭中，弓弦是用右手拇指向后拉的，因此拇指环既能保护拇指，又能确保箭顺利射出，因此至关重要。除了实用功能外，拇指环也经常作为个人装饰品佩戴。所有满族弓箭手，即使是最高级别的贵族，也偏爱用骨制或鹿角制的拇指环，用于狩猎和作战。然而，在其他时候，他们也会佩戴装饰精美的拇指环，这些拇指环由易碎或珍贵的材料制成，例如玉石、琥珀或象牙。拇指环的四块嵌板上分别雕刻着代表八仙和道教八宝之一的符号。,914
无描述信息,915
长期以来，各种类型的纺织品都被用作多种文化中盔甲的基础。迄今为止，最典型的布料制作盔甲方法是绗缝。绗缝盔甲通常由一层织物包裹，内衬填充减震衬垫，再缝合固定。更为独特的是多层织物制成的盔甲。其防御性能是通过将多层布料层叠在一起来实现的，这样布料的厚度足以吸收冲击力、偏转刀刃或转向某个点，同时仍能保持相对的活动自由度。这件来自韩国的罕见织物盔甲采用了这两种方法，但以分层为主，其坚固性通过一系列道教和佛教的护身符得到了精神上的增强。这件盔甲的上衣由三十层坚韧的棉布制成，经过精心剪裁，并用麻线缝制而成，总厚度不到一英寸。头盔的帽檐、护耳和颈托均采用传统绗缝工艺。头盔顶部饰有四条镀锡铁辐射状饰带，加固牢固。上衣和头盔内侧用墨书写着金氏家族三位成员的名字，据推测他们曾佩戴过这套盔甲。这套盔甲最显著的装饰特征是印在衣襟前后、上衣肩胛骨处以及头盔耳垂和颈托上的五个道教符号。这些符号象征着五岳，五岳被尊崇为拥有维护世界和平与稳定以及影响人类命运的力量。每座象征性的山峰都与五个方向（东、南、西、中）中的一个方向以及一座特定的现有山脉相关联。然而，随着时间的推移，每个符号所对应的方向和山脉不断变化。作为护身符，这些符号及其对应的方向和山脉具有特定的保护力量，尤其适用于盔甲的装饰。东岳保佑长寿，南岳保佑免遭敌人或火焰的伤害，中岳抚慰疲劳，西岳保佑免遭刀剑的伤害，北岳保佑免遭水灾，例如溺水或沉船。腰带正面的五行符箓也具有道教意义，这些符箓是汉字形式的护身符。人们相信它们具有避邪和保护免受各种伤害或厄运的力量。这件盔甲的装饰通过佛教咒语祈求进一步的神灵保护，咒语在头盔上重复了四次，在腰带背面重复了一次。咒语由六个悉昙字母组成，悉昙字母是源自梵文的字母之一，在中国、韩国和日本专用于神圣文学。咒语是“噢？玛呢？帕美呼？”。,916
这件男式铠甲被称为“钉甲”，是十八、十九世纪宫廷高级官员所穿军装的典范，工艺精湛。它由一件带袖上衣和一条及踝的长裙组成，裙摆由窄而重叠的金属板构成，金属板铆接在织物层内，固定的铆钉头在外面可见。其中一些金属板由抛光钢板制成，露出在袖子和裙摆上。虽然并非用于战斗，但这件上衣还通过宽大的肩部护甲、腋下的护板以及一块覆盖小腹的类似结构的护板进行了加固。因此，这种款式将武士实用但通常朴素的盔甲与常穿在其上的礼服结合在一起。这件上衣用金色和彩色丝线绣上了传统的龙和波浪图案。肩部精雕细刻的镀金钢板也重复了这些图案。头盔顶部饰有由貂尾、珊瑚和翠鸟羽毛组成的冠饰，并以掐丝珐琅镶嵌。马铠内部没有铠甲，只有铆钉头，使其外观如同铠甲。,917
在日本，江户时代（1615-1868）的和平与稳定为盔甲工匠及其赞助人提供了大量机会，可以尽情尝试各种精致的风格，既有历史复兴的元素，也有全新的设计，他们打造的盔甲主要用于仪式，而非战斗。这些盔甲通常配备造型奇特或充满象征意义的头盔，其设计巧妙地呼应了各种宗教和自然主义主题。这顶头盔高耸的锥形头骨，勾勒出福禄寿最显著的体态特征，福禄寿是七福神之一。福禄寿的名字意为“福、福、寿”，即道教的三大普世理想。事实上，他有时被认为是中国道教创始人老子的化身。福禄寿的形象通常以幽默诙谐的风格呈现。然而，此头盔上他愤怒的表情让人联想到另一位七福神，即十郎神，即健康与长寿之神，其特征经常与福禄寿混淆。这顶头盔可能是两位神的合体。到了十七世纪，也就是这顶头盔可能制作的时候，福禄寿和十郎神经常被合并为一位神，用其中一个名字来称呼，以便在七位神中为吉祥天腾出空间。其余的福神是：弁财天，即艺术、美丽和财富的女神；毘沙门天，财富之神；大黑天，即无尽繁荣之神（参见目录编号 36.25.130）；惠比寿，即渔业、食物和诚实之神；以及布袋和尚，一位携带宝藏的禅宗僧侣。七福神合起来，是祈求个人好运和长寿的便捷途径，人们可以通过非正式的方式而非仪式化的方式寻求他们的帮助。他们代表着日本独特的神道教、佛教、道教和民间信仰的融合。,918
无描述信息,919
无描述信息,920
对八幡的崇敬，或仅仅是对佛教的虔诚，可以通过这顶代表足杖（象征着云游的佛教僧侣所持的权杖）的顶饰来表达。八幡化身为僧行八幡时，以右手握着足杖的剃度僧人的形象出现。足杖的使用随着佛教从印度传入中国、西藏和日本。足杖上松散的环状物发出叮当声，表示有僧侣前来化缘，因为僧侣们必须保持沉默而无法说话。人们认为这种声音是为了警告昆虫和小动物僧侣的到来，以免它们被踩踏，同时也是为了驱赶更危险的动物。足杖也用于驱魔和其他仪式。环状物的数量具有象征意义。云游僧携带带有四个环的足杖，而像这个徽章上的六个环则被认为适合菩萨，例如八幡。,921
无描述信息,922
这件十八或十九世纪汉藏马鞍的复杂装饰核心是荣耀之面（kīrttimukha），即面容狰狞的面具，以各种形式出现在西藏、中国、印度和印度尼西亚的宗教装饰中。据一则传说，荣耀之面是由印度教至高神湿婆创造的狮头恶魔，既是湿婆的守护神，也是其神力的化身。荣耀之面随着印度教的扩张而传播，并像印度教信仰和艺术的许多其他方面一样，最终融入佛教传统，并因此而广为传播。在两种宗教中，荣耀之面都象征着神明权威的恩惠，以及对精神和肉体危险的保护。护身符被广泛用作避邪的吉祥标志。在马鞍上，护身符位于马鞍前后大型鎏金铜牌的中央，也位于最上端镂空铁边的中央。护身符周围环绕着一系列同样有意义的神圣属性，包括上端边框上的三宝。这个符号代表了所有佛教派别共同的三重基础：佛陀，觉者；法，他的教义；僧伽，信徒团体。三宝两侧是龙叟捧珠的图案，这是一个源于中国道教的流行图案。在佛教中，珍珠或单颗宝石代表着完美无瑕的纯洁，因此也代表着宗教教义的绝对真理。龙是这颗宝石的守护神。下部镂空边缘的中央是如意宝珠（cintāma?i），亦称“如意宝珠”，这是佛教艺术中常见的宝石图案的另一个例子。它通常以一簇细长的球体或一个被火焰光环环绕的泪珠形球体的形式出现。如意宝珠预示着物质繁荣，也象征着通过佛陀实现所有愿望。与佛陀教诲相关的救赎概念由位于马鞍两侧的一对小鹿代表，它们指的是印度东北部贝拿勒斯附近鹿野苑的鹿苑，据说悉达多·乔达摩就是在那里首次布道。这件马鞍的镂空边缘让人联想到中国的金属制品，但浮雕牌匾让人联想到西藏东部的工艺，这或许表明这件马鞍融合了两国的元素。然而，在这种奢华的物品上高度集中地使用互补的宗教符号，在中华帝国或神权统治的西藏的装饰艺术中并不罕见。这些图像可以单独欣赏，以了解其全部含义，也可以将其作为护身符装饰的集合来欣赏其整体效果。,923
