博物馆博物编号,文物详细信息,文物名称,时间,朝代,出处,详情页地址,图片url
570,瓷器；总长：34.4 厘米（13.9/16 英寸）。克利夫兰艺术博物馆，HOWARD M. HANNA 夫人、PAUL MOORE 夫人和 LEONARD C. HANNA JR.,瓶,1736–95,中国 - 清朝,[],https://clevelandart.org/art/1939.204,https://openaccess-cdn.clevelandart.org/1939.204/1939.204_web.jpg
571,中国，江西省，景德镇窑，清代（1644-1911），乾隆年款（1736-95）.瓷器，釉下钴蓝、铜红装饰；总长：35.5厘米（14英寸）.克利夫兰艺术博物馆，HOWARD M. HANNA夫人、PAUL MOORE夫人、LEONARD C. HANNA JR赠、纪念 Leonard C. Hanna 1939.205,海水龙纹瓶,1736–95,中国 - 清朝,[],https://clevelandart.org/art/1939.205,https://openaccess-cdn.clevelandart.org/1939.205/1939.205_web.jpg
572,瓷器；总长：18.2 厘米（7 3/16 英寸）。克利夫兰艺术博物馆，Howard M. Hanna 夫人、Paul Moore 夫人和 Leonard C. Hanna Jr.,姜罐,1736–95,中国 - 清朝,[],https://clevelandart.org/art/1939.206,https://openaccess-cdn.clevelandart.org/1939.206/1939.206_web.jpg
573,中国，江西省，景德镇窑，清朝（1644-1911），乾隆年间（1736-95）。瓷器，镜面黑釉；总长：50.2厘米（19 3/4英寸）。克利夫兰艺术博物馆，Howard M. Hanna夫人、Paul Moore夫人和Leonard C. Hanna Jr.为纪念Leonard C. Hanna 1939.208所赠。,瓶式瓶,1736–95,中国 - 清朝,[],https://clevelandart.org/art/1939.208,https://openaccess-cdn.clevelandart.org/1939.208/1939.208_web.jpg
574,瓷胎，釉上珐琅装饰；直径：12.克利夫兰艺术博物馆，Laurence H. Norton、Robert C. Norton 和 Miriam Norton White 为纪念 D. Z. Norton 1939.258 夫妇所赠。,花卉纹碗,1723–35,中国 - 清朝,"Laurence H. Norton [1888-1960], Cleveland, Oh, 赠送给克利夫兰艺术博物馆 (? -1939); 克利夫兰艺术博物馆, Cleveland, Oh (1939-)",https://clevelandart.org/art/1939.258,https://openaccess-cdn.clevelandart.org/1939.258/1939.258_web.jpg
575,中国，19 世纪晚期。刺绣，丝绸；总尺寸：134.6 x 114.3 厘米（53 x 45 英寸）。克利夫兰艺术博物馆，J. Cox Morrill 女士赠送 1940.4,官服袍,c.1890,纺织品,[],https://clevelandart.org/art/1940.4,https://openaccess-cdn.clevelandart.org/1940.4/1940.4_web.jpg
576,陶器；总长：13.1 厘米（5 3/16 英寸）。克利夫兰艺术博物馆，Edward L. Whittemore 基金 1940.44,罐子,600 年代末-700 年代,中国 - 唐朝,"(c.t. loo 盧芹齋 [1880-1957], Paris, france, and New York, NY, 卖给 克利夫兰艺术博物馆) (?-1940); 克利夫兰艺术博物馆, cleveland, oh (1940-)",https://clevelandart.org/art/1940.44,https://openaccess-cdn.clevelandart.org/1940.44/1940.44_web.jpg
577,碗，1200 年代。中国，南宋（1127-1279 年）。釉面水绿色石器，南青瓷；直径：16 厘米（6.5/16 英寸）；总长：8.4 厘米（3.5/16 英寸）。克利夫兰艺术博物馆，爱德华-L-威特摩尔基金，1940.45,碗,1200s,中国 - 宋朝,"(c.t. loo 盧芹齋 [1880-1957], Paris, france, and New York, NY, 卖给 克利夫兰艺术博物馆) (?-1940); 克利夫兰艺术博物馆, cleveland, oh (1940-)",https://clevelandart.org/art/1940.45,https://openaccess-cdn.clevelandart.org/1940.45/1940.45_web.jpg
578,中国，宋代（960-1279年）。白瓷，应庆器；直径：23厘米（9 1/16英寸）；总长：7厘米（2 3/4英寸）。,喇叭形碗,960–1279,中国 - 宋朝,(Ralph M. Chait 画廊，纽约州纽约市，出售给克利夫兰艺术博物馆)(?-1940 年)；克利夫兰艺术博物馆，俄亥俄州克利夫兰市(1940 年-),https://clevelandart.org/art/1940.46,https://openaccess-cdn.clevelandart.org/1940.46/1940.46_web.jpg
579,中国，唐代（618-907 年），陶器，多色釉；总长：15.3 厘米（6 英寸）。,含仔狮,618–907,中国 - 唐朝,"(Wells objects of art, inc., New York, NY, 卖给 克利夫兰艺术博物馆) (? -1940); 克利夫兰艺术博物馆, cleveland, oh (1940-)",https://clevelandart.org/art/1940.47,https://openaccess-cdn.clevelandart.org/1940.47/1940.47_web.jpg
580,中国，汉代（公元前 202 年-公元前 220 年），釉陶；直径：20.3 厘米（8 英寸）。,盖罐,公元前206年-公元前220年,中国 - 汉朝,Warren E. Cox，纽约州纽约市，出售给克利夫兰艺术博物馆(?-1940)；克利夫兰艺术博物馆，俄亥俄州克利夫兰(1940-),https://clevelandart.org/art/1940.49,https://openaccess-cdn.clevelandart.org/1940.49/1940.49_web.jpg
581,中国，汉代（公元前 202 年-公元前 220 年），釉陶；直径：20.3 厘米（8 英寸）。,盖罐,公元前206年-公元前220年,中国 - 汉朝,Warren E. Cox，纽约州纽约市，出售给克利夫兰艺术博物馆(?-1940)；克利夫兰艺术博物馆，俄亥俄州克利夫兰(1940-),https://clevelandart.org/art/1940.49.a,https://openaccess-cdn.clevelandart.org/1940.49.a/1940.49.a_web.jpg
582,中国，汉代（公元前 202 年-公元前 220 年）。釉陶；直径：20.3 厘米（8 英寸）。,带盖罐（盖）,公元前206年-公元前220年,中国 - 汉朝,Warren E. Cox，纽约州纽约市，出售给克利夫兰艺术博物馆(?-1940)；克利夫兰艺术博物馆，俄亥俄州克利夫兰(1940-),https://clevelandart.org/art/1940.49.b,https://openaccess-cdn.clevelandart.org/1940.49.b/1940.49.b_web.jpg
583,中国，北宋（960-1127 年）。釉下滑石雕刻装饰，慈 州器；总尺寸：11.8 x 19.8 厘米（4.5/8 x 7.13/16 英寸）。克利夫兰艺术博物馆，Edward L. Whittemore 基金 1940.50,枕头,1000-1100s,中国 - 宋朝,(山中和公司，出售给克利夫兰艺术博物馆)(?-1940 年)；克利夫兰艺术博物馆，克利夫兰，俄亥俄州(1940 年-),https://clevelandart.org/art/1940.50,https://openaccess-cdn.clevelandart.org/1940.50/1940.50_web.jpg
584,中国，北宋（960-1127年）。釉下铁质装饰，北方黑陶；直径：17.2厘米（6 3/4英寸）；总长：22.3厘米（8 3/4英寸）。克利夫兰艺术博物馆，Edward L. Whittemore基金，1940.51。,瓶,1000-1100s,中国 - 宋朝,(山中和公司，出售给克利夫兰艺术博物馆)(?-1940 年)；克利夫兰艺术博物馆，克利夫兰，俄亥俄州(1940 年-),https://clevelandart.org/art/1940.51,https://openaccess-cdn.clevelandart.org/1940.51/1940.51_web.jpg
585,中国，北宋（960-1127年）。水绿色石器，釉下滑石雕刻装饰，慈州器；直径：20.7厘米（8 1/8英寸）；总长：34.3厘米（13 1/2英寸）。,磁州窑梅瓶,1100s,中国 - 宋朝,"(c.t. loo 盧芹齋 [1880-1957], Paris, france, and New York, NY, 卖给 克利夫兰艺术博物馆) (?-1940); 克利夫兰艺术博物馆, cleveland, oh (1940-)",https://clevelandart.org/art/1940.52,https://openaccess-cdn.clevelandart.org/1940.52/1940.52_web.jpg
586,披肩，1800 年代。中国，19 世纪。刺绣，丝绸；平均尺寸：215.9 x 138.5 厘米（85 x 54 1/2 英寸）。克利夫兰艺术博物馆，James Parmelee 遗赠，1940.593,披肩,1800s,纺织品,[],https://clevelandart.org/art/1940.593,https://openaccess-cdn.clevelandart.org/1940.593/1940.593_web.jpg
587,披肩，1800 年代。中国，19 世纪。刺绣，丝绸；总尺寸：597.8 x 113.4 厘米（235 3/8 x 44 5/8 英寸）。克利夫兰艺术博物馆，James Parmelee 遗赠品 1940.594,披肩,1800s,纺织品,[],https://clevelandart.org/art/1940.594,https://openaccess-cdn.clevelandart.org/1940.594/1940.594_web.jpg
588,天鹅绒，1600 年代.中国，17 世纪.天鹅绒（剪裁和作废）；整体：87.6 x 78.4 厘米（34 1/2 x 30 7/8 英寸）.克利夫兰艺术博物馆，James Parmelee 遗赠品 1940.597,丝绒,1600s,纺织品,James Parmelee [1855-1931] 遗赠给克利夫兰艺术博物馆(?-1940)；克利夫兰艺术博物馆，克利夫兰，哦 (1940-),https://clevelandart.org/art/1940.597,https://openaccess-cdn.clevelandart.org/1940.597/1940.597_web.jpg
589,象牙；总长：32.4 厘米（12.3/4 英寸）。克利夫兰艺术博物馆，James Parmelee 遗赠 1940.691,寿老（寿星）,c.1580-1644,中国 - 明朝,"James Parmelee [1855-1931], Cleveland, Oh and Washington, DC, 遗赠给 克利夫兰艺术博物馆 (?-1940)；克利夫兰艺术博物馆, Cleveland, Oh (1940-)",https://clevelandart.org/art/1940.691,https://openaccess-cdn.clevelandart.org/1940.691/1940.691_web.jpg
590,中国，清朝（1644-1911），乾隆年款（1736-95）。瓷器；总长：55厘米（21.5/8英寸）。克利夫兰艺术博物馆，James Parmelee遗赠，1940.694,蓝釉瓶（一对）,1736–95,中国 - 清朝,James Parmelee [1855-1931] 遗赠给克利夫兰艺术博物馆(?-1940)；克利夫兰艺术博物馆，克利夫兰，哦 (1940-),https://clevelandart.org/art/1940.694,https://openaccess-cdn.clevelandart.org/1940.694/1940.694_web.jpg
591,瓷器；总长：55 厘米（21.5/8 英寸）。克利夫兰艺术博物馆，James Parmelee 遗赠 1940.694.1,蓝釉瓶,1736–95,中国 - 清朝,James Parmelee [1855-1931] 遗赠给克利夫兰艺术博物馆(?-1940)；克利夫兰艺术博物馆，克利夫兰，哦 (1940-),https://clevelandart.org/art/1940.694.1,https://openaccess-cdn.clevelandart.org/1940.694.1/1940.694.1_web.jpg
592,瓷器；总长：55 厘米（21.5/8 英寸）。克利夫兰艺术博物馆，James Parmelee 遗赠 1940.694.2,蓝釉瓶,1736–95,中国 - 清朝,James Parmelee [1855-1931] 遗赠给克利夫兰艺术博物馆(?-1940)；克利夫兰艺术博物馆，克利夫兰，哦 (1940-),https://clevelandart.org/art/1940.694.2,https://openaccess-cdn.clevelandart.org/1940.694.2/1940.694.2_web.jpg
593,瓷器，铜红釉；总长：24.2 厘米（9 1/2 英寸）。,牛血红釉瓶,20 世纪初,中国 - 清朝,[],https://clevelandart.org/art/1940.701,https://openaccess-cdn.clevelandart.org/1940.701/1940.701_web.jpg
594,中国，江西省，景德镇窑，"过渡时期"，明代（1368-1644），崇祯年间（1628-1644）。瓷器；总长：19.1厘米（7 1/2英寸）。克利夫兰艺术博物馆，James Parmelee遗赠，1940.709, 笔筒,1628–44,中国 - 明朝,[],https://clevelandart.org/art/1940.709,https://openaccess-cdn.clevelandart.org/1940.709/1940.709_web.jpg
595,中国，清朝（1644-1911），道光年间（1821-1850）-咸丰年间（1851-1861）。瓷器；总长：11.5 厘米（4 1/2英寸）。克利夫兰艺术博物馆，James Parmelee遗赠品 1940.933, 细颈杯,十九世纪,中国 - 清朝,[],https://clevelandart.org/art/1940.933,https://openaccess-cdn.clevelandart.org/1940.933/1940.933_web.jpg
596,中国，清朝（1644-1911），道光年间（1821-1850）-咸丰年间（1851-1861），瓷器；总长：12.2 厘米（4 13/16 英寸）。, 细颈杯,十九世纪,中国 - 清朝,[],https://clevelandart.org/art/1940.934,https://openaccess-cdn.clevelandart.org/1940.934/1940.934_web.jpg
597,中国，清朝（1644-1911），康熙年间（1661-1722）。瓷器；总长：30 厘米（11 13/16 英寸）。,梨形罐,1661–1722,中国 - 清朝,"James Parmelee [1855-1931], Cleveland, Oh and Washington, DC, 遗赠给 克利夫兰艺术博物馆 (?-1940)；克利夫兰艺术博物馆, Cleveland, Oh (1940-)",https://clevelandart.org/art/1940.935,https://openaccess-cdn.clevelandart.org/1940.935/1940.935_web.jpg
598,中国，清朝（1644-1911），康熙年间（1661-1722）。瓷器；总长：19.1 厘米（7 1/2英寸）。,长颈球形瓶,1661–1722,中国 - 清朝,[],https://clevelandart.org/art/1940.936,https://openaccess-cdn.clevelandart.org/1940.936/1940.936_web.jpg
599,中国，清朝（1644-1911），康熙年间（1661-1722）。瓷器；总长：6.8 厘米（2 11/16 英寸）。克利夫兰艺术博物馆，詹姆斯-帕米利遗赠品 1940.937,茶叶绿圆柱花瓶,1661–1722,中国 - 清朝,James Parmelee [1855-1931] 遗赠给克利夫兰艺术博物馆(?-1940)；克利夫兰艺术博物馆，克利夫兰，哦 (1940-),https://clevelandart.org/art/1940.937,https://openaccess-cdn.clevelandart.org/1940.937/1940.937_web.jpg
600,中国，清朝（1644-1911），康熙年间（1661-1722）。瓷器；直径：9.2 厘米（3.5/8 英寸）；总长：3 厘米（1.3/16 英寸）。,扁圆碗,1661–1722,中国 - 清朝,[],https://clevelandart.org/art/1940.941,https://openaccess-cdn.clevelandart.org/1940.941/1940.941_web.jpg
601,中国，清朝（1644-1911），康熙年间（1662-1722）.瓷器，郎器；总长：8.4 厘米（3.5/16 英寸）.克利夫兰艺术博物馆，James Parmelee遗赠品 1940.942,瓶式瓶,1662–1722,中国 - 清朝,James Parmelee [1855-1931]，俄亥俄州克利夫兰和华盛顿特区，遗赠给克利夫兰艺术博物馆（?-1940 年）；克利夫兰艺术博物馆，俄亥俄州克利夫兰（1940 年-）。,https://clevelandart.org/art/1940.942,https://openaccess-cdn.clevelandart.org/1940.942/1940.942_web.jpg
602,中国，清朝（1644-1911），康熙年间（1661-1722）。瓷器；总长：8.4 厘米（3.5/16 英寸）。克利夫兰艺术博物馆，James Parmelee遗赠，1940.943,青花鼻烟壶,1661–1722,中国 - 清朝,[],https://clevelandart.org/art/1940.943,https://openaccess-cdn.clevelandart.org/1940.943/1940.943_web.jpg
603,中国，清朝（1644-1911），道光年间（1821-1850）-咸丰年间（1851-1861）。瓷器；总长：14 厘米（5 1/2 英寸）。克利夫兰艺术博物馆，James Parmelee 遗赠品 1940.944,瓶,十九世纪,中国 - 清朝,[],https://clevelandart.org/art/1940.944,https://openaccess-cdn.clevelandart.org/1940.944/1940.944_web.jpg
604,瓷器；总长：14 厘米（5 1/2 英寸）。克利夫兰艺术博物馆，James Parmelee 的遗赠品 1940.945,瓶,十九世纪,中国 - 清朝,[],https://clevelandart.org/art/1940.945,https://openaccess-cdn.clevelandart.org/1940.945/1940.945_web.jpg
605,瓷器；总长：13.9 厘米（5 1/2 英寸）。克利夫兰艺术博物馆，James Parmelee 遗赠品 1940.946,带盖罐,十九世纪,中国 - 清朝,[],https://clevelandart.org/art/1940.946,https://openaccess-cdn.clevelandart.org/1940.946/1940.946_web.jpg
606,瓷器；总长：13.9 厘米（5 1/2 英寸）。克利夫兰艺术博物馆，James Parmelee 遗赠品 1940.946.A,带盖罐,十九世纪,中国 - 清朝,[],https://clevelandart.org/art/1940.946.a,https://openaccess-cdn.clevelandart.org/1940.946.a/1940.946.a_web.jpg
607,瓷器；总长：13.9 厘米（5 1/2 英寸）。克利夫兰艺术博物馆，James Parmelee 遗赠品 1940.946.B,带盖罐（盖）,十九世纪,中国 - 清朝,[],https://clevelandart.org/art/1940.946.b,https://openaccess-cdn.clevelandart.org/1940.946.b/1940.946.b_web.jpg
608,瓷器；总长：13.9 厘米（5 1/2 英寸）。克利夫兰艺术博物馆，James Parmelee遗赠品 1940.947,带盖罐,十九世纪,中国 - 清朝,[],https://clevelandart.org/art/1940.947,https://openaccess-cdn.clevelandart.org/1940.947/1940.947_web.jpg
609,瓷器；总长：13.9 厘米（5 1/2 英寸）。克利夫兰艺术博物馆，James Parmelee 遗赠品 1940.947.A,带盖罐,十九世纪,中国 - 清朝,[],https://clevelandart.org/art/1940.947.a,https://openaccess-cdn.clevelandart.org/1940.947.a/1940.947.a_web.jpg
610,瓷器；总长：13.9 厘米（5 1/2 英寸）。克利夫兰艺术博物馆，James Parmelee 遗赠品 1940.947.B,带盖罐（盖）,十九世纪,中国 - 清朝,[],https://clevelandart.org/art/1940.947.b,https://openaccess-cdn.clevelandart.org/1940.947.b/1940.947.b_web.jpg
611,瓷器；总长：13.8 厘米（5.7/16 英寸）。克利夫兰艺术博物馆，James Parmelee遗赠品 1940.948,带盖罐,十九世纪,中国 - 清朝,[],https://clevelandart.org/art/1940.948,https://openaccess-cdn.clevelandart.org/1940.948/1940.948_web.jpg
612,瓷器；总长：13.8 厘米（5.7/16 英寸）。克利夫兰艺术博物馆，James Parmelee 遗赠品 1940.948.A,带盖罐,十九世纪,中国 - 清朝,[],https://clevelandart.org/art/1940.948.a,https://openaccess-cdn.clevelandart.org/1940.948.a/1940.948.a_web.jpg
613,瓷器；总长：13.8 厘米（5.7/16 英寸）。克利夫兰艺术博物馆，James Parmelee 遗赠品 1940.948.B,带盖罐（盖）,十九世纪,中国 - 清朝,[],https://clevelandart.org/art/1940.948.b,https://openaccess-cdn.clevelandart.org/1940.948.b/1940.948.b_web.jpg
614,瓷器；总长：10.4 厘米（4 1/8 英寸）。克利夫兰艺术博物馆，James Parmelee 遗赠 1940.950,罐子,1736–95,中国 - 清朝,[],https://clevelandart.org/art/1940.950,https://openaccess-cdn.clevelandart.org/1940.950/1940.950_web.jpg
615,中国，清朝（1644-1911），道光年间（1821-1850）。瓷器；总尺寸：6.2 x 14.6 cm (2 7/16 x 5 3/4 in.).,五彩碗,1821–1850,中国 - 清朝,[],https://clevelandart.org/art/1940.954,https://openaccess-cdn.clevelandart.org/1940.954/1940.954_web.jpg
616,瓷碗，1723-35 年。中国，江西省，景德镇窑，清代（1644-1911 年），雍正年款 (1722-35 年)。,碗,1723–35,中国 - 清朝,[],https://clevelandart.org/art/1940.956,https://openaccess-cdn.clevelandart.org/1940.956/1940.956_web.jpg
617,瓷器；总长：17.8 厘米（7 英寸）。克利夫兰艺术博物馆，James Parmelee 遗赠品 1940.957,瓶,1662–1722,中国 - 清朝,[],https://clevelandart.org/art/1940.957,https://openaccess-cdn.clevelandart.org/1940.957/1940.957_web.jpg
618,瓷器；总长：8 厘米（3 1/8 英寸）；无盖：克利夫兰艺术博物馆，James Parmelee遗赠 1940.959,碗,1821–1850,中国 - 清朝,[],https://clevelandart.org/art/1940.959,https://openaccess-cdn.clevelandart.org/1940.959/1940.959_web.jpg
619,瓷器；总长：26.4 厘米（10 3/8 英寸）。克利夫兰艺术博物馆，James Parmelee 遗赠品 1940.960,瓶,1662–1722,中国 - 清朝,"James Parmelee [1855-1931], Cleveland, Oh and Washington, DC, 遗赠给 克利夫兰艺术博物馆 (?-1940)；克利夫兰艺术博物馆, Cleveland, Oh (1940-)",https://clevelandart.org/art/1940.960,https://openaccess-cdn.clevelandart.org/1940.960/1940.960_web.jpg
620,瓷碗，1662-1722。瓷器；总长：45.2 厘米（17 13/16 英寸）。,碗,1662–1722,中国 - 清朝,James Parmelee [1855-1931] 遗赠给克利夫兰艺术博物馆(?-1940)；克利夫兰艺术博物馆，克利夫兰，哦 (1940-),https://clevelandart.org/art/1940.962,https://openaccess-cdn.clevelandart.org/1940.962/1940.962_web.jpg
621,瓷器；总长：13.1 厘米（5 3/16 英寸）。克利夫兰艺术博物馆，James Parmelee 遗赠，1940.967,罐子,1736–95,中国 - 清朝,[],https://clevelandart.org/art/1940.967,https://openaccess-cdn.clevelandart.org/1940.967/1940.967_web.jpg
622,中国，清朝（1644-1911 年），乾隆年间（1736-95 年）。瓷器，裂纹釉；总长：28.4 厘米（11 3/16 英寸）。,八卦纹瓶,1736–95,中国 - 清朝,[],https://clevelandart.org/art/1940.969,https://openaccess-cdn.clevelandart.org/1940.969/1940.969_web.jpg
623,中国，汉代（公元前 202 年-公元前 220 年），釉陶；直径：26.1 厘米（10 1/4 英寸）。,仓形罐,公元前206年-公元前220年,中国 - 汉朝,James Parmelee [1855-1931]，?-1940 年，遗赠给克利夫兰艺术博物馆（?-1940 年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州，1940 年至今（1940 年-）。,https://clevelandart.org/art/1940.971,https://openaccess-cdn.clevelandart.org/1940.971/1940.971_web.jpg
624,中国，汉代（公元前 202 年-公元前 220 年），釉陶；直径：26.1 厘米（10 1/4 英寸）。,仓形罐,公元前206年-公元前220年,中国 - 汉朝,James Parmelee [1855-1931]，?-1940 年，遗赠给克利夫兰艺术博物馆（?-1940 年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州，1940 年至今（1940 年-）。,https://clevelandart.org/art/1940.971.a,无图像
625,中国，汉代（公元前 202 年至公元前 220 年），釉陶；直径：26.1 厘米（10 1/4 英寸）。,仓形罐（盖）,公元前206年-公元前220年,中国 - 汉朝,James Parmelee [1855-1931]，?-1940 年，遗赠给克利夫兰艺术博物馆（?-1940 年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州，1940 年至今（1940 年-）。,https://clevelandart.org/art/1940.971.b,无图像
626,中国，江西省，景德镇窑，清朝（1644-1911），雍正年款（1722-35）。瓷器；总长：35.3 厘米（13.7/8 英寸）。克利夫兰艺术博物馆，詹姆斯-帕梅利遗赠，1940.972,吊挂瓶,1723–35,中国 - 清朝,James Parmelee [1855-1931] 遗赠给克利夫兰艺术博物馆(?-1940)；克利夫兰艺术博物馆，克利夫兰，哦 (1940-),https://clevelandart.org/art/1940.972,https://openaccess-cdn.clevelandart.org/1940.972/1940.972_web.jpg
627,瓷器；总长：27.8 厘米（10 15/16 英寸）。克利夫兰艺术博物馆，James Parmelee 遗赠品 1940.977,瓶,1736–95,中国 - 清朝,[],https://clevelandart.org/art/1940.977,https://openaccess-cdn.clevelandart.org/1940.977/1940.977_web.jpg
628,瓷器；直径：9.7 厘米（3 13/16英寸）；总长：4.5 厘米（1 3/4英寸）。克利夫兰艺术博物馆，James Parmelee遗赠，1940.978,单色红釉酒杯,1723–35,中国 - 清朝,James Parmelee [1855-1931]，俄亥俄州克利夫兰和华盛顿特区，遗赠给克利夫兰艺术博物馆（?-1940 年）；克利夫兰艺术博物馆，俄亥俄州克利夫兰（1940 年-）。,https://clevelandart.org/art/1940.978,https://openaccess-cdn.clevelandart.org/1940.978/1940.978_web.jpg
629,瓷器，"牛血 "釉；总长：40.7 厘米（16 英寸）。,瓶,1662–1722,中国 - 清朝,RALPH [FANNY TEWKSBURY] KING [1867-1949]夫人，克利夫兰高地，俄亥俄州，赠送给克利夫兰艺术博物馆(?-1941)；克利夫兰艺术博物馆，克利夫兰，俄亥俄州(1941-),https://clevelandart.org/art/1941.152,https://openaccess-cdn.clevelandart.org/1941.152/1941.152_web.jpg
630,中国，清朝（1644-1911）。彩色木刻版画；总尺寸：28.1 x 24.4 厘米（11.1/16 x 9.5/8 英寸）。克利夫兰艺术博物馆，Edward L. Whittemore 基金 1941.280,石榴枝,十八世纪,中国 - 清朝,[],https://clevelandart.org/art/1941.280,https://openaccess-cdn.clevelandart.org/1941.280/1941.280_web.jpg
631,中国，明代（1368-1644 年）或晚期。彩色木刻版画；总尺寸：28.6 x 24.8 厘米（11 1/4 x 9 3/4 英寸）。克利夫兰艺术博物馆，爱德华-L-维特摩尔基金 1941.281,杈墩,1368–1644,中国 - 明朝,[],https://clevelandart.org/art/1941.281,https://openaccess-cdn.clevelandart.org/1941.281/1941.281_web.jpg
632,荷花，1368-1644。中国，明代（1368-1644 年）或晚期。彩色木刻版画；总尺寸：25.3 x 29.4 厘米（9 15/16 x 11 9/16 英寸）。克利夫兰艺术博物馆，爱德华-L-维特摩尔基金 1941.282,莲花,1368–1644,中国 - 明朝,[],https://clevelandart.org/art/1941.282,https://openaccess-cdn.clevelandart.org/1941.282/1941.282_web.jpg
633,岩石上的兰花，1700 年代。中国，清朝（1644-1911 年）。彩色木刻版画；总尺寸：29 x 25 厘米（11 7/16 x 9 13/16 英寸）。克利夫兰艺术博物馆，爱德华-L-威特摩尔基金 1941.283,石上兰,1700s,中国 - 清朝,"(Shogo Matsumoto 卖给 克利夫兰艺术博物馆) (? -1941); 克利夫兰艺术博物馆, Cleveland, Oh (1941-)",https://clevelandart.org/art/1941.283,https://openaccess-cdn.clevelandart.org/1941.283/1941.283_web.jpg
634,中国，明代（1368-1644 年）或晚期。彩色木刻版画；总尺寸：28.8 x 25 厘米（11.5/16 x 9.13/16 英寸）。克利夫兰艺术博物馆，爱德华-L-威特摩尔基金 1941.284,玉兰桃花,1368–1644,中国 - 明朝,[],https://clevelandart.org/art/1941.284,https://openaccess-cdn.clevelandart.org/1941.284/1941.284_web.jpg
635,中国，清朝（1644-1911 年）.彩色木刻版画；总尺寸：26.8 x 31.2 厘米（10.9/16 x 12.5/16 英寸）.克利夫兰艺术博物馆，Edward L. Whittemore 基金 1941.285,蜂与花枝,十八世纪,中国 - 清朝,[],https://clevelandart.org/art/1941.285,https://openaccess-cdn.clevelandart.org/1941.285/1941.285_web.jpg
636,中国，明代（1368-1644 年）或晚期。彩色木刻版画；总尺寸：30.4 x 25 厘米（11 15/16 x 9 13/16 英寸）。克利夫兰艺术博物馆，爱德华-L-威特摩尔基金 1941.286,梅花,1368–1644,中国 - 明朝,[],https://clevelandart.org/art/1941.286,https://openaccess-cdn.clevelandart.org/1941.286/1941.286_web.jpg
637,中国，明代（1368-1644 年）或晚期。彩色木刻版画；总尺寸：28.8 x 24.8 厘米（11.5/16 x 9.3/4 英寸）。克利夫兰艺术博物馆，爱德华-L-威特摩尔基金 1941.287,燕栖桃花枝,1368–1644,中国 - 明朝,[],https://clevelandart.org/art/1941.287,https://openaccess-cdn.clevelandart.org/1941.287/1941.287_web.jpg
638,彩色木刻版画；总尺寸：33.8 x 26.9 厘米（13.5/16 x 10.9/16英寸）。克利夫兰艺术博物馆，Edward L. Whittemore 基金 1941.288。,莲花与花苞,十八世纪,中国 - 清朝,[],https://clevelandart.org/art/1941.288,https://openaccess-cdn.clevelandart.org/1941.288/1941.288_web.jpg
639,彩色木刻版画；总尺寸：30.1 x 26.2 厘米（11.7/8 x 10.5/16 英寸）。克利夫兰艺术博物馆，Edward L. Whittemore 基金 1941.289,百合花,十八世纪,中国 - 清朝,[],https://clevelandart.org/art/1941.289,https://openaccess-cdn.clevelandart.org/1941.289/1941.289_web.jpg
640,桃花，18 世纪。中国，清朝（1644-1911 年）。彩色木刻版画；总尺寸：29 x 26.2 厘米（11 7/16 x 10 5/16 英寸）。克利夫兰艺术博物馆，爱德华-L-维特摩尔基金 1941.290。,桃花,十八世纪,中国 - 清朝,[],https://clevelandart.org/art/1941.290,https://openaccess-cdn.clevelandart.org/1941.290/1941.290_web.jpg
641,中国，明代（1368-1644 年）或晚期。彩色木刻版画；总尺寸：24.5 x 30 厘米（9.5/8 x 11.13/16 英寸）。克利夫兰艺术博物馆，Edward L. Whittemore 基金 1941.291,竹石图,1368–1644,中国 - 明朝,[],https://clevelandart.org/art/1941.291,https://openaccess-cdn.clevelandart.org/1941.291/1941.291_web.jpg
642,石版画；图像：克利夫兰艺术博物馆，Lewis B. Williams 夫妇收藏 1941.528,长江雨景,未知,pr - 平版印刷品,[],https://clevelandart.org/art/1941.528,无图像
643,中国，周朝（约公元前 1046-256 年），春秋时期（公元前 770-475 年）。青铜；总长：9 厘米（3.9/16 英寸）。,建鼓柄,c.公元前 770-475 年,中国 - 周朝,"(c.t. loo 盧芹齋 [1880-1957], Paris, france, and New York, NY, 卖给 克利夫兰艺术博物馆) (? by 1939-1941); 克利夫兰艺术博物馆, cleveland, oh (1941-)",https://clevelandart.org/art/1941.548,https://openaccess-cdn.clevelandart.org/1941.548/1941.548_web.jpg
644,中国，商代（约公元前 1600 年至公元前 1046 年）。青铜；总长：23.8 厘米（9.3/8 英寸）。,斧头,公元前1766-1045年,中国 - 商朝,"(Heeramaneck galleries, New York, NY, 卖给 克利夫兰艺术博物馆) (? -1941); 克利夫兰艺术博物馆, cleveland, oh (1941-)",https://clevelandart.org/art/1941.549,https://openaccess-cdn.clevelandart.org/1941.549/1941.549_web.jpg
645,中国，清朝（1644-1911 年），乾隆年间（1736-95 年）.,道教仙山微型景,1736–95,中国 - 清朝,克利夫兰艺术博物馆，克利夫兰，俄亥俄州（1941 年）,https://clevelandart.org/art/1941.594,https://openaccess-cdn.clevelandart.org/1941.594/1941.594_web.jpg
