object_id,provenience,creator,date_made,materials,description,length,width
2454,China,unknown,18th Century - 1890,Ivory,One chess man from set(7605.2 through 7605.62).  One of 16 white chess men(7605.18 through 7605.33)  Ivory.,unknown,unknown
2455,China,unknown,18th Century - 1890,Ivory,One chess man from set(7605.2 through 7605.62).  One of 16 white chess men(7605.18 through 7605.33)  Ivory.,unknown,unknown
2456,China,unknown,18th Century - 1890,Ivory,One chess man from set(7605.2 through 7605.62).  One of 16 white chess men(7605.18 through 7605.33)  Ivory.,unknown,unknown
2457,China,unknown,18th Century - 1890,Ivory,One chess man from set(7605.2 through 7605.62).  One of 16 red chess men(7605.2 through 7605.17)  Ivory.,unknown,unknown
2458,China,unknown,18th Century - 1890,Ivory,One chess man from set(7605.2 through 7605.62).  One of 16 red chess men(7605.2 through 7605.17)  Ivory.,unknown,unknown
2459,China,unknown,18th Century - 1890,Ivory,One chess man from set(7605.2 through 7605.62).  One of 16 red chess men(7605.2 through 7605.17)  Ivory.,unknown,unknown
2460,China,unknown,18th Century - 1890,Ivory,One chess man from set(7605.2 through 7605.62).  One of 16 red chess men(7605.2 through 7605.17)  Ivory.,unknown,unknown
2461,China,unknown,18th Century - 1890,Ivory,One chess man from set(7605.2 through 7605.62).  One of 16 red chess men(7605.2 through 7605.17)  Ivory.,unknown,unknown
2462,China,unknown,18th Century - 1890,Ivory,One chess man from set(7605.2 through 7605.62).  One of 16 red chess men(7605.2 through 7605.17)  Ivory.,unknown,unknown
2463,China,unknown,18th Century - 1890,Ivory,One chess man from set(7605.2 through 7605.62).  One of 16 red chess men(7605.2 through 7605.17)  Ivory.,unknown,unknown
2464,China,unknown,18th Century - 1890,Ivory,One chess man from set(7605.2 through 7605.62).  One of 16 red chess men(7605.2 through 7605.17)  Ivory.,unknown,unknown
2465,China,unknown,18th Century - 1890,Ivory,One chess man from set(7605.2 through 7605.62).  One of 16 red chess men(7605.2 through 7605.17)  Ivory.,unknown,unknown
2466,China,unknown,18th Century - 1890,Ivory,One chess man from set(7605.2 through 7605.62).  One of 16 red chess men(7605.2 through 7605.17)  Ivory.,unknown,unknown
2467,China,unknown,18th Century - 1890,Ivory,One chess man from set(7605.2 through 7605.62).  One of 16 red chess men(7605.2 through 7605.17)  Ivory.,unknown,unknown
2468,China,unknown,18th Century - 1890,Ivory,One chess man from set(7605.2 through 7605.62).  One of 16 red chess men(7605.2 through 7605.17)  Ivory.,unknown,unknown
2469,China,unknown,18th Century - 1890,Ivory,One chess man from set(7605.2 through 7605.62).  One of 16 red chess men(7605.2 through 7605.17)  Ivory.,unknown,unknown
2470,China,unknown,18th Century - 1890,Ivory,One chess man from set(7605.2 through 7605.62).  One of 16 white chess men(7605.18 through 7605.33)  Ivory.,unknown,unknown
2471,China,unknown,350 - 250 BCE,Bronze,"Flat handled, square-foot spade coin. Obv. 莆子 Pu Zi. Rev. Plain. State: Liang 梁.",unknown,unknown
2472,China,unknown,350 - 250 BCE,Bronze,"Flat handled, square-foot spade coin. Obv. 高都 Gao Du. Rev. Plain. State: Liang 梁.",unknown,unknown
2473,China,unknown,350 - 250 BCE,Bronze,"Flat handled, pointed foot spade. Obv. 焛(藺) Lin. Rev. Plain. State: Zhao 趙.",unknown,unknown
2474,China,unknown,Emperor Muzong,Bronze,Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo joo left and right. 正 Zheng above. Mint: Unknown.,unknown,unknown
2475,China,unknown,Emperor Zhezong,unknown,Obv. 紹聖元寶 Shao Sheng Yuan Bao (clockwise) Running script (1094 - 1097 CE). Rev. Plain.,unknown,unknown
2476,China,unknown,350 - 250 BCE,Bronze,"Flat handled, square-foot spade coin. Obv. 襄垣 Xiang Yuan. Rev. Plain. State: Zhao 趙.",unknown,unknown
2477,China,unknown,Supreme Commander Ma Yin,unknown,Obv. 乾封泉寶 Qian Feng Quan Bao (clockwise). (Qianfeng Coin Treasure). Rev. 天 Tian.,unknown,unknown
2478,China,unknown,222 - 280 CE,unknown,Obv. 大泉當千 Da Quan Dang Qian (Large Coin Worth a Thousand) (clockwise). Rev. Plain.,unknown,unknown
2479,China,unknown,350 - 250 BCE,Bronze,"Flat handled, square foot spade coin. Obv. 平陶 Ping Tao. Rev. Plain. State: Zhao 趙.",unknown,unknown
2480,China,unknown,Emperor Huizong,unknown,Obv. 聖宋元寶 Sheng Song Yuan Bao (clockwise). Running script (1101 - 1106 CE). Rev. Plain.,unknown,unknown
2481,China,unknown,350 - 250 BCE,Bronze,"Flat handled, square-foot spade coin. Obv. 襄垣 Xiang Yuan. Rev. Plain. State: Zhao 趙.",unknown,unknown
2482,China,unknown,350 - 250 BCE,Bronze,"Flat handled, square-foot spade coin. Obv. 宅陽 Zhai Yang. Rev. Plain. State: Han 韓.",unknown,unknown
2483,China,unknown,350 - 250 BCE,Bronze,"Flat handled, square-foot spade coin. Obv. 宅陽 Zhai Yang. Rev. Plain. State: Han 韓.",unknown,unknown
2484,China,unknown,350 - 250 BCE,Bronze,"Flat handled, square-foot spade coin. Obv. 中都 Zhong Du. Rev. Plain. State: Zhao 趙.",unknown,unknown
2485,China,unknown,Emperor Taizu,unknown,Obv. 洪武通寶 Hong Wu Tong Bao. Rev. 浙 Zhe above. Mint: Zhejiang province. 1368 - 1398 CE.,unknown,unknown
2486,China,unknown,350 - 250 BCE,Bronze,"Flat handled, pointed foot spade coin. Obv. 陶平 Ping Tao. Rev. Plain. State: Zhao 趙.",unknown,unknown
2487,China,unknown,350 - 250 BCE,Bronze,"Flat handled, square-foot spade coin. Obv. 梁邑 Liang Yi. Rev. Plain. State: Liang 梁.",unknown,unknown
2488,China,unknown,300 - 220 BCE,Bronze,Obv. 益四化 Yi Si Hua (City of Yi four hua). Rev. Plain. State of Qi.,unknown,unknown
2489,China,unknown,350 - 250 BCE,Bronze,"Flat handled, square-foot spade coin. Obv. 彘 Zhi. Rev. Plain. State: Zhao 趙.",unknown,unknown
2490,China,unknown,350 - 250 BCE,Bronze,"Flat handled, pointed foot spade coin. Obv. 中陽 Zhong Yang. Rev. Plain. State: Zhao 趙.",unknown,unknown
2491,China,unknown,350 - 250 BCE,Bronze,"Flat handled, square-foot spade coin. Obv. 梁邑 Liang Yi. Rev. Plain. State: Liang 梁.",unknown,unknown
2492,China,unknown,Emperor Xizong,unknown,Obv. 天啓通寶 Tian Qi Tong Bao. Rev. 工 Gong above. Mint: The Board of Works. 1 cash coin.,unknown,unknown
2493,China,unknown,unknown,Bronze,Obv. 千祥雲集 Qian Xiang Yun Ji ( A Thousand Lucky Clouds Pile up). Rev. The Eight Trigrams (bagua).,unknown,unknown
2494,China,unknown,118 BCE - 618 CE,Bronze,Obv. 五銖 Wu Zhu (five grain) Crescent and dash above hole. Rev. Plain.,unknown,unknown
2495,China,unknown,350 - 250 BCE,Bronze,"Flat handled, square-foot spade coin. Obv. 未邑 Wei Yi. Rev. Plain. State: Han 韓.",unknown,unknown
2496,China,unknown,Emperor Huizong (Toghon Temür),unknown,Obv. 至正通寶 Zhi Zheng Tong Bao. Rev. ꡚꡞꡋ Shin for 壬辰 Ren Chen (1352 CE).,unknown,unknown
2497,China,unknown,350 - 250 BCE,Bronze,"Flat handled, square-foot spade coin. Obv. 中都 Zhong Du. Rev. Plain. State: Zhao 趙.",unknown,unknown
2498,China,unknown,350 - 250 BCE,Bronze,"Flat handled, square-foot spade coin. Obv. 虞陽 Yu Yang. Rev. Plain. State: Liang 梁.",unknown,unknown
2499,China,unknown,350 - 250 BCE,Bronze,"Flat handled, square-foot spade coin. Obv. 大陰 Da Yin. Rev. Plain. State: Zhao 趙.",unknown,unknown
2500,China,unknown,Emperor Wenzong,Bronze,Obv. 咸豐通寶 Xian Feng Tong Bao. Rev. Boo left and undecipherable Manchu character on the right. Unusual.,unknown,unknown
2501,China,unknown,Emperor Zhezong,unknown,Obv. 紹聖元寶 Shao Sheng Yuan Bao (clockwise) Running script (1094 - 1097 CE). Rev. Plain.,unknown,unknown
2502,China,unknown,350 - 250 BCE,Bronze,"Flat handled, pointed foot spade. Obv. 甘丹 Gan Dan. Rev. Plain. State: Zhao 趙. Rare.",unknown,unknown
2503,China,unknown,350 - 250 BCE,Bronze,"Flat handled, pointed foot spade. Obv. 郎山 Xie Shan. Rev. Plain. State: Zhao 趙. Rare.",unknown,unknown
2504,China,unknown,350 - 250 BCE,Bronze,"Flat handled, square-foot spade coin. Obv. 北亓 Bei Qi. Rev. Plain. State: Zhao 趙.",unknown,unknown
2505,China,unknown,Emperor Muzong,Bronze,Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo yun left and right. Unclear character below. Mint: Yunnan province.,unknown,unknown
2506,China,unknown,118 BCE - 618 CE,Bronze,Obv. 五銖 Wu Zhu (five grain) Star (dot) above and below. Rev. Plain.,unknown,unknown
2507,China,unknown,350 - 250 BCE,Bronze,"Flat handled, square-foot spade coin. Obv. 露 Lu. Rev. Plain.  State: Han 韓.",unknown,unknown
2508,China,unknown,Emperor Xizong,unknown,Obv. 天啓通寶 Tian Qi Tong Bao. Rev. 十 Shi above. 一兩 Yi liang (1 liang ) right.,unknown,unknown
2509,China,unknown,350 - 250 BCE,Bronze,"Flat handled, square-foot spade coin. Obv. 宅陽 Zhai Yang. Rev. Plain. State: Han 韓.",unknown,unknown
2510,China,unknown,Zhu Yousong (Prince of Fu),Bronze,Obv. 弘光通寶 Hong Guang Tong Bao. Rev. Plain. Prince of Fu (福王). Hongguang Emperor.,unknown,unknown
2511,China,unknown,650 - 400 BCE,Bronze,"Hollow handled, square shoulder, spade money. Obv. 商 Shang or 帝 Di. Rev. Plain.",unknown,unknown
2512,China,unknown,350 - 250 BCE,Bronze,"Flat handled, square-foot spade coin. Obv. 宅陽 Zhai Yang. Rev. Plain. State: Han 韓.",unknown,unknown
2513,China,unknown,350 - 250 BCE,Bronze,"Flat handled, square-foot spade coin. Obv. 中都 Zhong Du. Rev. Plain. State: Zhao 趙.",unknown,unknown
2514,China,unknown,Emperor Zhenzong,unknown,Obv. 祥符元寶 Xiang Fu Yuan Bao. (clockwise). Regular script (1008 - 1016 CE). Rev. Plain.,unknown,unknown
2515,China,unknown,350 - 250 BCE,Bronze,"Flat handled, square-foot spade coin. Obv. 襄垣 Xiang Yuan. Rev. Plain. State: Zhao 趙.",unknown,unknown
2516,China,unknown,350 - 250 BCE,Bronze,"Flat handled, square-foot spade coin. Obv. 高都 Gao Du. Rev. Plain. State: Liang 梁.",unknown,unknown
2517,China,unknown,Emperor Yingzong (Gegeen Khan),unknown,Obv. 至治通寶 Zhi Zhi Tong Bao. Rev. Plain. 1321 - 1323 CE. Temple coin. Rare.,unknown,unknown
2518,China,unknown,Emperor Muzong,Bronze,Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo yun left and right. Unclear character above. Mint: Yunnan province.,unknown,unknown
2519,China,unknown,118 BCE - 618 CE,Bronze,Obv. 五銖 Wu Zhu (five grain). Rev. Plain with dot on the left.,unknown,unknown
2520,China,unknown,Supreme Commander Ma Yin,unknown,Obv. 乾封泉寶 Qian Feng Quan Bao (clockwise). (Qianfeng Coin Treasure). Rev. 天府 Tian Fu.,unknown,unknown
2521,China,unknown,350 - 250 BCE,Bronze,"Flat handled, square-foot spade coin. Obv. 陽邑 Yang Yi. Rev. Plain. State: Zhao 趙.",unknown,unknown
2522,China,unknown,118 BCE - 618 CE,Bronze,Obv. 五銖 Wu Zhu (five grain) Star (dot) above and below. Rev. Plain.,unknown,unknown
2523,China,unknown,Emperor Renzong,unknown,Obv. 乾祐元寶 Qian You Yuan Bao (clockwise). Regular script (1170 - 1193 CE). Rev. Plain.,unknown,unknown
2524,China,unknown,Emperor Shizong,unknown,Obv. 大定通寶 Da Ting Tong Bao. Rev. 酉 You below. For the cyclical characters 己酉Ji You (1189 CE).,unknown,unknown
2525,China,unknown,Emperor Shenzong,unknown,Obv. 萬曆通寶 Wan Li Tong Bao. Rev. 萬曆通寶 Wan Li Tong Bao.Inscription repeated on the reverse.,unknown,unknown
2526,China,unknown,350 - 250 BCE,Bronze,"Flat handled, square-foot spade coin. Obv. 祁 Qi. Rev. Plain. State: Zhao 趙.",unknown,unknown
2527,China,unknown,650 - 400 BCE,Bronze,"Hollow handled, square shoulder, spade money. Obv. 𠂤 Dui or 阜 Fu. Rev. Plain.",unknown,unknown
2528,China,unknown,1900 - 1970,Clay,Tiny clay figures of two men on a bench. Dish garden ornament. Bench is white. Figures brown. One man is elderly age. The other young.,unknown,unknown
2529,China,unknown,Ming Dynasty - Qing Dynasty,Ceramic,"Simple domed cover with an underglaze blue design of rocks, prunus and butterflies. Chips on base of cover.",unknown,unknown
2530,China | Indochina,unknown,unknown,Cotton,"Sash, reverse design; Chinese characters; geometric in red, yellow with pulled fringe in center and ends.",195 cm,5 cm
2531,China | Indochina,unknown,unknown,Cotton,"Sash, center design, rust, white, green, black with rust borders; end with long twisted fringe.",143 cm,3 cm
2532,China | Indochina,unknown,unknown,Cotton,"Sash, light brown, green, yellow stripes with design in center; pulled fringe in center and ends.",123 cm,4.5 cm
2533,China,unknown,19th Century - 1896,Paper,Strips of yellow paper said to be used to put around notices of deaths in temple.  Obtained in San Francisco by the donor.,23 cm,11 cm
2534,China,unknown,Emperor Yuanzong (Li Jing),unknown,Obv. 大唐通寶 Da Tang Tong Bao (Tang Kingdom currrency). Rev. Plain. Li script. From 959 CE.,unknown,unknown
2535,China,unknown,350 - 250 BCE,Bronze,"Flat handled, square-foot spade coin. Obv. 北亓邑 Bei Qi Yi. Rev. Plain. State: Han 韓.",unknown,unknown
2536,China,unknown,350 - 250 BCE,Bronze,"Flat handled, square-foot spade coin. Obv. 茲氏半 Zi Shi Ban. Rev. Plain. State: Zhao 趙.",unknown,unknown
2537,China,unknown,Emperor Yuanzong (Li Jing),unknown,Obv. 唐國通寶 Tang Guo Tong Bao (Tang Kingdom currency). Seal script. Rev. Plain. From 959 CE.,unknown,unknown
2538,China,unknown,Emperor Dezong,Bronze,"Obv. 光緒通寶 Guang Xu Tong Bao. Rev. Boo fu left and right. Mint: Fuzhou, Fujian. 1893 - 1900's CE.",unknown,unknown
2539,China,unknown,Emperor Shizong,Bronze,Obv. 雍正通寶 Yong Zheng Tong Bao. Rev. Boo yun left and right. Mint: Yunnan province. 1724 - 1735 CE.,unknown,unknown
2540,China,unknown,Emperor Dezong,Bronze,"Obv. 光緒通寶 Guang Xu Tong Bao. Rev. Boo chuwan left and right. Mint: Chengdu, Sichuan. 1875 - 1898 CE.",unknown,unknown
2541,China,unknown,Emperor Dezong,Bronze,"Obv. 光緒通寶 Guang Xu Tong Bao. Rev. Boo chuwan left and right. Mint: Chengdu, Sichuan. 1875 - 1898 CE.",unknown,unknown
2542,China,unknown,Emperor Dezong,Bronze,"Obv. 光緒通寶 Guang Xu Tong Bao. Rev. Boo chuwan left and right. Mint: Chengdu, Sichuan. 1875 - 1898 CE.",unknown,unknown
2543,China,unknown,Emperor Dezong,Bronze,"Obv. 光緒通寶 Guang Xu Tong Bao. Rev. Boo chuwan left and right. Mint: Chengdu, Sichuan. 1875 - 1898 CE.",unknown,unknown
2544,China,unknown,Emperor Dezong,Bronze,Obv. 光緒通寶 Guang Xu Tong Bao.  Rev. Boo yun left and right. Mint: Yunnan province. 1875 - 1890 CE.,unknown,unknown
2545,China,unknown,Emperor Dezong,Bronze,"Obv. 光緒通寶 Guang Xu Tong Bao. Rev. Boo chang left and right. Mint: Nanchang, Jiangxi. 1875 - 1880s CE.",unknown,unknown
2546,China,unknown,Emperor Dezong,Bronze,"Obv. 光緒通寶 Guang Xu Tong Bao. Rev. Boo chang left and right. Mint: Nanchang, Jiangxi. 1875 - 1880s CE.",unknown,unknown
2547,China,unknown,Emperor Dezong,Bronze,"Obv. 光緒通寶 Guang Xu Tong Bao. Rev. Boo u left and right. Mint: Wuchang, Hubei. 1887 - 1888 CE.",unknown,unknown
2548,China,unknown,Emperor Dezong,Bronze,"Obv. 光緒通寶 Guang Xu Tong Bao. Rev. Boo u left and right. Mint: Wuchang, Hubei. 1887 - 1888 CE.",unknown,unknown
2549,China,unknown,Emperor Dezong,Bronze,"Obv. 光緒通寶 Guang Xu Tong Bao. Rev. Boo u left and right. Mint: Wuchang, Hubei. 1887 - 1888 CE.",unknown,unknown
2550,China,unknown,Emperor Dezong,Bronze,"Obv. 光緒通寶 Guang Xu Tong Bao. Rev. Boo je left and right. Mint: Hangzhou, Zhejiang. 1887 - 1888 CE.",unknown,unknown
2551,China,unknown,Emperor Dezong,Bronze,"Obv. 光緒通寶 Guang Xu Tong Bao. Rev. Boo je left and right. Mint: Hangzhou, Zhejiang. 1887 - 1888 CE.",unknown,unknown
2552,China,unknown,Emperor Dezong,Bronze,"Obv. 光緒通寶 Guang Xu Tong Bao. Rev. Boo fu left and right. Mint: Fuzhou, Fujian. 1887 - 1890s CE.",unknown,unknown
2553,China,unknown,Emperor Dezong,Bronze,"Obv. 光緒通寶 Guang Xu Tong Bao. Rev. Boo fu left and right. Mint: Fuzhou, Fujian. 1887 - 1890s CE.",unknown,unknown
2554,China,unknown,Emperor Dezong,Bronze,"Obv. 光緒通寶 Guang Xu Tong Bao. Rev. Boo fu left and right. Mint: Fuzhou, Fujian. 1887 - 1890s CE.",unknown,unknown
2555,China,unknown,Emperor Dezong,Bronze,"Obv. 光緒通寶 Guang Xu Tong Bao. Rev. Boo fu left and right. Mint: Fuzhou, Fujian. 1887 - 1890s CE.",unknown,unknown
2556,China,unknown,Emperor Dezong,Bronze,"Obv. 光緒通寶 Guang Xu Tong Bao. Rev. Boo fu left and right. Mint: Fuzhou, Fujian. 1887 - 1890s CE.",unknown,unknown
2557,China,unknown,Emperor Dezong,Bronze,"Obv. 光緒通寶 Guang Xu Tong Bao. Rev. Boo fu left and right. Mint: Fuzhou, Fujian. 1887 - 1890s CE.",unknown,unknown
2558,China,unknown,Emperor Dezong,Bronze,"Obv. 光緒通寶 Guang Xu Tong Bao. Rev. Boo fu left and right. Mint: Fuzhou, Fujian. 1887 - 1890s CE.",unknown,unknown
2559,China,unknown,Emperor Dezong,Bronze,"Obv. 光緒通寶 Guang Xu Tong Bao. Rev. Boo fu left and right. Mint: Fuzhou, Fujian. 1887 - 1890s CE.",unknown,unknown
2560,China,unknown,Emperor Dezong,Bronze,"Obv. 光緒通寶 Guang Xu Tong Bao. Rev. Boo fu left and right. Mint: Fuzhou, Fujian. 1887 - 1890s CE.",unknown,unknown
2561,China,unknown,Emperor Dezong,Bronze,"Obv. 光緒通寶 Guang Xu Tong Bao. Rev. Boo fu left and right. Mint: Fuzhou, Fujian. 1887 - 1890s CE.",unknown,unknown
2562,China,unknown,Emperor Dezong,Bronze,"Obv. 光緒通寶 Guang Xu Tong Bao. Rev. Boo fu left and right. Mint: Fuzhou, Fujian. 1887 - 1890s CE.",unknown,unknown
2563,China,unknown,Emperor Dezong,Bronze,"Obv. 光緒通寶 Guang Xu Tong Bao. Rev. Boo fu left and right. Mint: Fuzhou, Fujian. 1887 - 1890s CE.",unknown,unknown
2564,China,unknown,Emperor Dezong,Bronze,"Obv. 光緒通寶 Guang Xu Tong Bao. Rev. Boo fu left and right. Mint: Fuzhou, Fujian. 1887 - 1890s CE.",unknown,unknown
2565,China,unknown,Emperor Dezong,Bronze,"Obv. 光緒通寶 Guang Xu Tong Bao. Rev. Boo fu left and right. Mint: Fuzhou, Fujian. 1893 - 1900s CE.",unknown,unknown
2566,China,unknown,Emperor Dezong,Bronze,"Obv. 光緒通寶 Guang Xu Tong Bao. Rev. Boo gu left and right. Mint: Dagu, Zhili. 1896 - 1899 CE.",unknown,unknown
2567,China,unknown,Emperor Dezong,Bronze,"Obv. 光緒通寶 Guang Xu Tong Bao. Rev. Boo nan left and right. Mint: Changsha, Hunan. 1896 - 1899 CE.",unknown,unknown
2568,China,unknown,Emperor Dezong,Bronze,"Obv. 光緒通寶 Guang Xu Tong Bao. Rev. Boo nan left and right. Mint: Changsha, Hunan. 1896 - 1899 CE.",unknown,unknown
2569,China,unknown,Emperor Dezong,Bronze,"Obv. 光緒通寶 Guang Xu Tong Bao. Rev. Boo nan left and right. Mint: Changsha, Hunan. 1896 - 1899 CE.",unknown,unknown
2570,China,unknown,Emperor Dezong,Bronze,"Obv. 光緒通寶 Guang Xu Tong Bao. Rev. Boo nan left and right. Mint: Changsha, Hunan. 1896 - 1899 CE.",unknown,unknown
2571,China,unknown,Emperor Dezong,Bronze,"Obv. 光緒通寶 Guang Xu Tong Bao. Rev. Boo nan left and right. Mint: Changsha, Hunan. 1896 - 1899 CE.",unknown,unknown
2572,China,unknown,Emperor Dezong,Bronze,"Obv. 光緒通寶 Guang Xu Tong Bao. Rev. Boo nan left and right. Mint: Changsha, Hunan. 1896 - 1899 CE.",unknown,unknown
2573,China,unknown,Emperor Dezong,Bronze,"Obv. 光緒通寶 Guang Xu Tong Bao. Rev. Boo he left and right. Mint: Kaifeng, Henan. 1898 - 1905 CE.",unknown,unknown
2574,China,unknown,Emperor Muzong,Bronze,Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo yun left and right. Board of Revenue style. Mint: Yunnan Province.,unknown,unknown
2575,China,unknown,Emperor Muzong,Bronze,Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo yun left and right. Board of Revenue style. Mint: Yunnan Province.,unknown,unknown
2576,China,unknown,Emperor Muzong,Bronze,Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo yun left and right. Board of Revenue style. Mint: Yunnan Province.,unknown,unknown
2577,China,unknown,Emperor Muzong,Bronze,"Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo nan left and right. Mint: Changsha, Hunnan. 1863 - 1865 CE.",unknown,unknown
2578,China,unknown,Emperor Muzong,Bronze,"Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo nan left and right. Mint: Changsha, Hunnan. 1863 - 1865 CE.",unknown,unknown
2579,China,unknown,Emperor Muzong,Bronze,"Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo nan left and right. Mint: Changsha, Hunnan. 1863 - 1865 CE.",unknown,unknown
2580,China,unknown,Emperor Muzong,Bronze,"Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo nan left and right. Mint: Changsha, Hunnan. 1863 - 1865 CE.",unknown,unknown
2581,China,unknown,Emperor Muzong,Bronze,"Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo nan left and right. Mint: Changsha, Hunnan. 1863 - 1865 CE.",unknown,unknown
2582,China,unknown,Emperor Muzong,Bronze,"Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo gui left and right. Mint: Guilin, Guangxi. 1862 - 1864 CE.",unknown,unknown
2583,China,unknown,Emperor Muzong,Bronze,"Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo chang left and right. Mint: Nanchang, Jiangxi. 1862 - 1874 CE.",unknown,unknown
2584,China,unknown,Emperor Muzong,Bronze,"Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo chang left and right. Mint: Nanchang, Jiangxi. 1862 - 1874 CE.",unknown,unknown
2585,China,unknown,Emperor Muzong,Bronze,"Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo chang left and right. Mint: Nanchang, Jiangxi. 1862 - 1874 CE.",unknown,unknown
2586,China,unknown,Emperor Muzong,Bronze,"Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo chang left and right. Mint: Nanchang, Jiangxi. 1862 - 1874 CE.",unknown,unknown
2587,China,unknown,Emperor Muzong,Bronze,"Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo chang left and right. Mint: Nanchang, Jiangxi. 1862 - 1874 CE.",unknown,unknown
2588,China,unknown,Emperor Muzong,Bronze,"Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo chang left and right. Mint: Nanchang, Jiangxi. 1862 - 1874 CE.",unknown,unknown
2589,China,unknown,Emperor Muzong,Bronze,"Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo chang left and right. Mint: Nanchang, Jiangxi. 1862 - 1874 CE.",unknown,unknown
2590,China,unknown,Emperor Muzong,Bronze,"Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo chang left and right. Mint: Nanchang, Jiangxi. 1862 - 1874 CE.",unknown,unknown
2591,China,unknown,Emperor Muzong,Bronze,"Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo chang left and right. Mint: Nanchang, Jiangxi. 1862 - 1874 CE.",unknown,unknown
2592,China,unknown,Emperor Muzong,Bronze,"Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo chang left and right. Mint: Nanchang, Jiangxi. 1862 - 1874 CE.",unknown,unknown
2593,China,unknown,Emperor Muzong,Bronze,"Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo chang left and right. Mint: Nanchang, Jiangxi. 1862 - 1874 CE.",unknown,unknown
2594,China,unknown,Emperor Muzong,Bronze,"Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo chang left and right. Mint: Nanchang, Jiangxi. 1862 - 1874 CE.",unknown,unknown
2595,China,unknown,Emperor Muzong,Bronze,"Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo su left and right. Mint: Suzhou, Jiangsu. 1864 - 1874 CE.",unknown,unknown
2596,China,unknown,Emperor Muzong,Bronze,"Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo su left and right. Mint: Suzhou, Jiangsu. 1864 - 1874 CE.",unknown,unknown
2597,China,unknown,Emperor Muzong,Bronze,"Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo su left and right. Mint: Suzhou, Jiangsu. 1864 - 1874 CE.",unknown,unknown
2598,China,unknown,Emperor Muzong,Bronze,"Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo su left and right. Mint: Suzhou, Jiangsu. 1864 - 1874 CE.",unknown,unknown
2599,China,unknown,Emperor Muzong,Bronze,"Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo su left and right. Mint: Suzhou, Jiangsu. 1864 - 1874 CE.",unknown,unknown
2600,China,unknown,Emperor Muzong,Bronze,"Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo su left and right. Mint: Suzhou, Jiangsu. 1864 - 1874 CE.",unknown,unknown
2601,China,unknown,Emperor Muzong,Bronze,"Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo su left and right. Mint: Suzhou, Jiangsu. 1864 - 1874 CE.",unknown,unknown
2602,China,unknown,Emperor Muzong,Bronze,"Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo su left and right. Mint: Suzhou, Jiangsu. 1864 - 1874 CE.",unknown,unknown
2603,China,unknown,Emperor Muzong,Bronze,"Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo su left and right. Mint: Suzhou, Jiangsu. 1864 - 1874 CE.",unknown,unknown
2604,China,unknown,Emperor Muzong,Bronze,"Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo su left and right. Mint: Suzhou, Jiangsu. 1864 - 1874 CE.",unknown,unknown
2605,China,unknown,Emperor Muzong,Bronze,"Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo su left and right. Mint: Suzhou, Jiangsu. 1864 - 1874 CE.",unknown,unknown
2606,China,unknown,Emperor Muzong,Bronze,"Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo su left and right. Mint: Suzhou, Jiangsu. 1864 - 1874 CE.",unknown,unknown
2607,China,unknown,Emperor Muzong,Bronze,"Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo su left and right. Mint: Suzhou, Jiangsu. 1864 - 1874 CE.",unknown,unknown
