object_id,title,link,image,object_type,current_location,culture,provenience,creator,date_made,section,materials,technique,description,length,width,credit_line
C688.20,Mural Painting,https://www.penn.museum/collections/object/519292,https://www.penn.museum/collections/assets/300/243091.jpg,,Collections Storage,Chinese | Buddhist,China | Shanxi | Hongtong | Guangshengsi,,ca. 1476,Asian,Mud | Seeds | Straw | Leaves | Tempera,Mural | Painted,"Single panel from a wall mural depicting the head of Suryaprabha with a halo. Part of a larger mural depicting the Medicine Buddha, Bhaisajyaguru.",,175.26 cm,"Purchased from C. T. Loo, 1927"
C688.8,Mural Painting,https://www.penn.museum/collections/object/519273,https://www.penn.museum/collections/assets/300/243079.jpg,,Collections Storage,Chinese | Buddhist,China | Shanxi | Hongtong | Guangshengsi,,ca. 1476,Asian,Mud | Seeds | Straw | Leaves | Tempera,Mural | Painted,"Single panel from a wall mural depicting the chest and knees of Candraprabha with a hexagonal jewelry plate. Part of a larger mural depicting the Medicine Buddha, Bhaisajyaguru.",,109.22 cm,"Purchased from C. T. Loo, 1927"
2003-39-38,Cloth,https://www.penn.museum/collections/object/457464,https://www.penn.museum/collections/assets/300/610264.jpg,,Collections Storage,Chinese,China | Jiangsu,,pre-1895,Asian,Cotton,Block Printed | Resist Dyed,"A length of woven, block printed, indigo resist dyed cotton cloth; butterfly & floral pattern.",512 cm,41 cm,"Gift of the Philadelphia Commercial Museum (also known as the Philadelphia Civic Center Museum), Philadelphia, Pennsylvania, 2003"
C688.22,Mural Painting,https://www.penn.museum/collections/object/519294,https://www.penn.museum/collections/assets/300/243093.jpg,,Collections Storage,Chinese | Buddhist,China | Shanxi | Hongtong | Guangshengsi,,ca. 1476,Asian,Mud | Seeds | Straw | Leaves | Tempera,Mural | Painted,"Single panel from a wall mural depicting the torso of Suryaprabha with one leg up and his right hand holding a string.  Part of a larger mural depicting the Medicine Buddha, Bhaisajyaguru.",,175.26 cm,"Purchased from C. T. Loo, 1927"
C688.19,Mural Painting,https://www.penn.museum/collections/object/519291,https://www.penn.museum/collections/assets/300/243090.jpg,,Collections Storage,Chinese | Buddhist,China | Shanxi | Hongtong | Guangshengsi,,ca. 1476,Asian,Mud | Seeds | Straw | Leaves | Tempera,Mural | Painted,"Single panel from a wall mural depicting the chest of the worshipper holding a seed pod and blank space at the bottom. Part of a larger mural depicting the Medicine Buddha, Bhaisajyaguru.",,177.8 cm,"Purchased from C. T. Loo, 1927"
C688.9,Mural Painting,https://www.penn.museum/collections/object/519274,https://www.penn.museum/collections/assets/300/243080.jpg,,Collections Storage,Chinese | Buddhist,China | Shanxi | Hongtong | Guangshengsi,,ca. 1476,Asian,Mud | Seeds | Straw | Leaves | Tempera,Mural | Painted,"Single panel from a wall mural depicting the feet of Candraprabha showing both feet on flowers and the left side of a worshipper. Part of a larger mural depicting the Medicine Buddha, Bhaisajyaguru.",,109.22 cm,"Purchased from C. T. Loo, 1927"
C174,Tomb Brick,https://www.penn.museum/collections/object/270468,https://www.penn.museum/collections/assets/300/699415.jpg,,Collections Storage,Chinese,China | Fuzhou,,Han Dynasty,Asian,Clay,Fired,Tomb brick from coffin.  Light grey clay.  Edge decorated with design of people and animals.  Xiwangmu seated on tiger and dragon; woman with phoenix approaches on left; demon and moon hare seated at right.,42 cm,14 cm,"The Chinese Expedition, Carl W. Bishop, 1916"
2003-39-42,Cloth,https://www.penn.museum/collections/object/411492,https://www.penn.museum/collections/assets/300/610274.jpg,,Collections Storage,Chinese,China | Shanghai,,pre-1895,Asian,Cotton,Block Printed | Resist Dyed,"A length of woven block printed indigo resist dyed cotton cloth. Motifs of flowers, fruits, and endless knot design.",,31.75 cm,"Gift of the Philadelphia Commercial Museum (also known as the Philadelphia Civic Center Museum), Philadelphia, Pennsylvania, 2003"
C688.3,Mural Painting,https://www.penn.museum/collections/object/519244,https://www.penn.museum/collections/assets/300/243074.jpg,,Collections Storage,Chinese | Buddhist,China | Shanxi | Hongtong | Guangshengsi,,ca. 1476,Asian,Mud | Seeds | Straw | Leaves | Tempera,Mural | Painted,"Single panel from wall mural painting showing the bottom robes of a Yaksa General holding a pole and banner with an animal face at the top. Part of a larger mural depicting the Medicine Buddha, Bhaisajyaguru.",,124.46 cm,"Purchased from C. T. Loo, 1927"
C395,Relief,https://www.penn.museum/collections/object/167942,https://www.penn.museum/collections/assets/300/193243.jpg,On Display,Asia Galleries - On Display,Chinese,China | Shaanxi | Xi'an | Zhaoling,,649 CE,Asian,Limestone | Stone,Carved | Bas Relief,"After consolidating the Tang Empire, Emperor Taizong ordered six large stone panels to be carved with the portraits of his favorite horses. These were the horses he had ridden in overcoming his rivals and securing the territory of the empire. From the laudatory poem he composed for each horse, the names and attributes of the horses can be matched to the stone reliefs. The relief shown here depicts the horse called Saluzi, ridden by Taizong at the battle for the city of Luoyang, the Eastern Capital, in 621 CE. When the horse was stuck with an arrow, the emperor was forced to dismount and switch horses with his general, Qiu Xinggong. The general is shown in the relief pulling the arrow out of the horse's chest while it stoically bears the pain.",207 cm,43.2 cm,"Purchased from C. T. Loo; Subscription of Eldridge R. Johnson, 1920"
29-238-44,Dominoes,https://www.penn.museum/collections/object/870080,https://www.penn.museum/collections/assets/300/897579.jpg,,Collections Storage,Chinese,China | Zhejiang | Wenzhou,,1889 - 1893,Asian,Paper | Ink,Printed,"From Culin publication: g. TONG KAU. No. 44. - From Wenchow. The twenty-one natural dominoes quintupled, and the following seventeen special cards: (1) 6-6 6-3, (2) 1-1 1-3, (3) 4-4 1-3, (4) 2-4 4-4, (5) 3-3 5-6, (6) 1-2 2-4, (8) 4-5 5-5, (9), (10), (11), the sequence 1-6, (a) man, ""civilian;"" (b) mo, ""military;"" (c) tsung, ""universal;"" (d) t'oi, ""highness;"" (e) ho, ""lily;"" (f) p'ui, ""heap up."" The blanks are used only to replace cards lost. The coloring of the cards is immaterial. Total, 122. The pack as above is known as Fa Tong kau, ""Flowery Tong kau."" The simpler form, or Tong kau proper, has only five special cards, viz.: 6-6 6-3, 1-1 1-3, 4-4 1-3, 6-6 3-3, 1-2 2-4. It is usually put up with two blanks.""",,,"Purchased from William Henry Wilkinson, 1903"
C145,Statue Base,https://www.penn.museum/collections/object/105770,https://www.penn.museum/collections/assets/300/867108.jpg,On Display,Asia Galleries - On Display,Chinese | Buddhist,China | Shandong,,525 CE,Asian,Limestone,Carved | Incised,"Square stone pedestal of grey limestone which originally supported a statue of Maitreya. Above the square pedestal base is an inverted lotus with a deep slot for mounting the statue. The front and two sides of the base are carved with scenes in low relief. The front scene shows an incense burner or reliquary, reminiscent in form of the pre-Buddhist mountain-shaped ""bo shan lu"" incense burner, supported by the upper body of a humanoid figure and flanked by lions. The scenes on the left and right sides depict a female and male donor respectively, likely a husband and wife, each surrounded by their attendants and making offerings of the same kind of incense burners or reliquaries depicted on the front. The male donor is shown as having arrived by a horse, which stands by with a groom, and the female by an ox-drawn wagon. Spaces in the scenes are filled with lotus, narcissus and phoenix ornament. The rear of the pedestal bears an inscription, dated to the equivalent of April 27, 525 CE, which identifies the donor of the pedestal as Cao Wangxi, a county prefect and military commander under the Northern Wei dynasty. The inscription states that the statue that would originally have been above the pedestal was an image of the Incarnation of Maitreya, the eagerly-awaited future Buddha whose arrival would bring salvation to the donor's family, ancestors, countrymen and all creatures in a suffering world.",,,"Purchased from C. T. Loo, 1916"
C492.4,Mural Painting Section,https://www.penn.museum/collections/object/519638,https://www.penn.museum/collections/assets/300/243098.jpg,,Collections Storage,Chinese | Buddhist,China | Shanxi | Hongtong | Guangshengsi,,ca. 1476,Asian,Mud | Seeds | Straw | Leaves | Tempera,Painted | Mural,Head of Tejaprabha Buddha.,,76.2 cm,"Purchased from C. T. Loo, 1926"
29-238-22,Playing Card Deck,https://www.penn.museum/collections/object/343460,https://www.penn.museum/collections/assets/300/894985.jpg,,Collections Storage,Hakka | Chinese,China | Guangdong | Shantou,,1889 - 1893,Asian,Paper | Ink,Printed,"One of two sets of playing cards, used to play Luk Fu 六虎 ( Six Tigers). Called lat chi / lut chi (甩紙) or lieh ch'ih (廢紙) by Stewart Culin and W.H. Wilkinson who collected them. There are 38 different cards. All cards are inscribed with their value in large stylized characters at the top. Of these there are 35 cards in four suits: 2 to 9 of shi  拾 (tens [of strings of 1000 cash]), 1-9 of guan 貫 (strings of 1000 cash), 1-9 of suo 索 (strings of 100 cash), and 1-9 of qian 錢 (cash). The 1 of cash has the name yun qian 雲綫 (cloud money or Yunnan coin). In addition there are three extra cards with the names lu hua 鹿花, bai zi 百子 (hundred sons), and mao gong 毛公 (prince of Mao). There are red underprints on the 8 of shi, the four of 9's, bai zi and Mao gong. These read: 龍邑廖家宝丰,幹記加長大張. The backs are black.",6.9 cm,2.3 cm,"Purchased from William Henry Wilkinson, 1903"
29-238-7,Playing Card Deck,https://www.penn.museum/collections/object/276965,https://www.penn.museum/collections/assets/300/895621.jpg,,Collections Storage,Chinese,China | Fuzhou,,1889 - 1893,Asian,Paper | Ink,Printed,"""Stick cards"" or Gun Pai 棍牌. This type of deck contains money cards with three suits: 1-9 of cash, 1-9 of strings (of cash) and 1-9 of myriads (of strings) (wan), and three extra court cards. One court card is the red flower card that goes with the cash suit and has the characters 達利 on it, the name of the manufactuer of the deck. The Old Thousand card has 假冒達利,男盜女娼 running down the sides of the card, 敬惜字紙 at the top meaning ""respectfully cherish writing and paper"", as well as 達利 on the bottom. The white flower card has 達利林記 on the top meaning ""Lin Brand of the Da Li"" company. The maker's sign Da Li 達利 also appears on the 1 of cash, 1 of myriads, and the 1 of strings cards. The 6 of cash has 遠來 meaning ""come from afar"" a reference to The Analects by Confucious and the 7 of cash has the character for social harmony 和. The 7 of myriads has 秦名 on it, a reference to the character 秦明 in the story the Water Margin. The deck is made of 120 playing cards. Rectangular cards of white paper with black printing on both sides. One side of each card with geometric diapered pattern. Some of the cards have stamped red seals over the face of the card. There are index marks on the top and bottom to indicate the suits and pips for each card.",7.1 cm,3 cm,"Purchased from William Henry Wilkinson, 1903"
C492.7,Mural Painting Section,https://www.penn.museum/collections/object/519641,https://www.penn.museum/collections/assets/300/243101.jpg,,Collections Storage,Chinese | Buddhist,China | Shanxi | Hongtong | Guangshengsi,,ca. 1476,Asian,Mud | Seeds | Straw | Leaves | Tempera,Painted | Mural,Middle bottom panel showing the base of Tejaprabha Buddha's pedestal.,,119.38 cm,"Purchased from C. T. Loo, 1926"
C692.5,Mural Painting Section,https://www.penn.museum/collections/object/519663,https://www.penn.museum/collections/assets/300/243122.jpg,,Collections Storage,Chinese | Buddhist,China | Shanxi | Hongtong | Guangshengsi,,ca. 1476,Asian,Mud | Seeds | Straw | Leaves | Tempera,Painted | Mural,"Hand and lower portion of Wenshu. Part of a larger mural depicting the Buddha of Blazing Light, Tejaprabha.",,170.18 cm,"Purchased from C. T. Loo, 1928"
C493.7,Mural Painting Section,https://www.penn.museum/collections/object/519652,https://www.penn.museum/collections/assets/300/243111.jpg,,Collections Storage,Chinese | Buddhist,China | Shanxi | Hongtong | Guangshengsi,,ca. 1476,Asian,Mud | Seeds | Straw | Leaves | Tempera,Painted | Mural,"Samantabhadra's left foot on a pedestal. Part of a larger mural depicting the Buddha of Blazing Light, Tejaprabha.",,55.88 cm,"Purchased from C. T. Loo, 1926"
C493.5,Mural Painting Section,https://www.penn.museum/collections/object/519650,https://www.penn.museum/collections/assets/300/243109.jpg,,Collections Storage,Chinese | Buddhist,China | Shanxi | Hongtong | Guangshengsi,,ca. 1476,Asian,Mud | Seeds | Straw | Leaves | Tempera,Painted | Mural,"Worshipper with hands clasped above their head. Part of a larger mural depicting the Buddha of Blazing Light, Tejaprabha.",,106.68 cm,"Purchased from C. T. Loo, 1926"
C493.3,Mural Painting Section,https://www.penn.museum/collections/object/519648,https://www.penn.museum/collections/assets/300/243107.jpg,,Collections Storage,Chinese | Buddhist,China | Shanxi | Hongtong | Guangshengsi,,ca. 1476,Asian,Mud | Seeds | Straw | Leaves | Tempera,Painted | Mural,"Head of Samantabhadra with Buddha in headdress. Part of a larger mural depicting the Buddha of Blazing Light, Tejaprabha.",,81.28 cm,"Purchased from C. T. Loo, 1926"
C493.4,Mural Painting Section,https://www.penn.museum/collections/object/519649,https://www.penn.museum/collections/assets/300/243108.jpg,,Collections Storage,Chinese | Buddhist,China | Shanxi | Hongtong | Guangshengsi,,ca. 1476,Asian,Mud | Seeds | Straw | Leaves | Tempera,Painted | Mural,"Body of Samantabhadra with the hand holding a string. Part of a larger mural depicting the Buddha of Blazing Light, Tejaprabha.",,106.68 cm,"Purchased from C. T. Loo, 1926"
C493.2,Mural Painting Section,https://www.penn.museum/collections/object/519647,https://www.penn.museum/collections/assets/300/243106.jpg,,Collections Storage,Chinese | Buddhist,China | Shanxi | Hongtong | Guangshengsi,,ca. 1476,Asian,Mud | Seeds | Straw | Leaves | Tempera,Painted | Mural,"Bottom part of the robe of the Moon. Part of a larger mural depicting the Buddha of Blazing Light, Tejaprabha.",,86.36 cm,"Purchased from C. T. Loo, 1926"
C492.10,Mural Painting Section,https://www.penn.museum/collections/object/519644,https://www.penn.museum/collections/assets/300/243104.jpg,,Collections Storage,Chinese | Buddhist,China | Shanxi | Hongtong | Guangshengsi,,ca. 1476,Asian,Mud | Seeds | Straw | Leaves | Tempera,Painted | Mural,"Lower portion of robe of a worshipper holding flowers. Part of a larger mural depicting the Buddha of Blazing Light, Tejaprabha.",,60.96 cm,"Purchased from C. T. Loo, 1926"
29-238-15,Playing Card Deck,https://www.penn.museum/collections/object/139310,https://www.penn.museum/collections/assets/300/895070.jpg,,Collections Storage,Chinese,China | Anhui,,1889 - 1893,Asian,Paper | Ink,Printed,"Incomplete deck of 154 playing cards (1 missing) called ""Stick cards"" or Gun Pai 棍牌. This type of deck contains money cards with three suits: 1-9 of cash coins, 1-9 of strings (of cash) and 1-9 of myriads. There are also three extra cards: the Old Thousand, White Flower, and Wang Ying. Additionally there are five extra cards functioning as wild cards or jokers. The five joker cards are the Five Blessings: 福 (good fortune), 祿 (promotion), 壽 (long life), 財 (wealth), 喜 (joy) and show the respective gods under their names. In the suits of cash and strings the value is depicted by the actual number of coins or strings of coins. In the suit of myriads the value is written out on the top and bottom of the cards. The myriads suit also contains characters from the Water Margin story. They appear on the 1, 2, 5, 7, and 9. The 3 of myriads has the text 楊裕記 Yang Yuji ""mark of Yang"" on it.  The Old Thousand court card which has 万千 Qian Wan at the top has a portrait of a person without a name.  The zhihua 白花 (white flower) court card has a picture of a deer and the plant of long life (polyporus lusidus) onit. On the Wang Ying card is a portrait of Wang Ying and his name 王英 in an oblique shield above him. Of the 5 sets of 30 cards there are two sets in which the 1's, 2's, 5's, 8's, 9's, White Flower, Old Thousand, and Wang Ying are colored. The jokers are all colored. The cards have double indices showing both the suit and the value. For example all the 2 cards have a circle centered at the top and bottom of the card, the suit is indicated by a dot in the center for cash, a blank circle for myriads, and a line down the middle of the cricle for strings. The cards are rectangular with rounded corners and the backs are white and blue with a hexagonal motif.  Some cards are colored red, silver, yellow, and pale green. There is a slighty shiny coating on the cards.",8.1 cm,1.7 cm,"Purchased from William Henry Wilkinson, 1903"
C692.4,Mural Painting Section,https://www.penn.museum/collections/object/519662,https://www.penn.museum/collections/assets/300/243121.jpg,,Collections Storage,Chinese | Buddhist,China | Shanxi | Hongtong | Guangshengsi,,ca. 1476,Asian,Mud | Seeds | Straw | Leaves | Tempera,Painted | Mural,"Head and torso of Wenshu with flaming disc in headdress. Part of a larger mural depicting the Buddha of Blazing Light, Tejaprabha.",,116.84 cm,"Purchased from C. T. Loo, 1928"
C492.3,Mural Painting Section,https://www.penn.museum/collections/object/519637,https://www.penn.museum/collections/assets/300/243097.jpg,,Collections Storage,Chinese | Buddhist,China | Shanxi | Hongtong | Guangshengsi,,ca. 1476,Asian,Mud | Seeds | Straw | Leaves | Tempera,Painted | Mural,"Lower portion of robe of a worshipper with a hand raised. Part of a larger mural depicting the Buddha of Blazing Light, Tejaprabha.",,60.96 cm,"Purchased from C. T. Loo, 1926"
C688.11,Mural Painting,https://www.penn.museum/collections/object/519276,https://www.penn.museum/collections/assets/300/243082.jpg,,Collections Storage,Chinese | Buddhist,China | Shanxi | Hongtong | Guangshengsi,,ca. 1476,Asian,Mud | Seeds | Straw | Leaves | Tempera,Mural | Painted,"Single panel from a wall mural depicting the head of the Medicine Buddha. Part of a larger mural depicting the Medicine Buddha, Bhaisajyaguru.",,177.8 cm,"Purchased from C. T. Loo, 1927"
C688.1,Mural Painting,https://www.penn.museum/collections/object/519225,https://www.penn.museum/collections/assets/300/243072.jpg,,Collections Storage,Chinese | Buddhist,China | Shanxi | Hongtong | Guangshengsi,,ca. 1476,Asian,Mud | Seeds | Straw | Leaves | Tempera,Mural | Painted,"Single panel from wall mural painting showing a sword on a background of clouds.  Part of a larger mural depicting the Medicine Buddha, Bhaisajyaguru.",,124.46 cm,"Purchased from C. T. Loo, 1927"
C493.1,Mural Painting Section,https://www.penn.museum/collections/object/519646,https://www.penn.museum/collections/assets/300/243105.jpg,,Collections Storage,Chinese | Buddhist,China | Shanxi | Hongtong | Guangshengsi,,ca. 1476,Asian,Mud | Seeds | Straw | Leaves | Tempera,Painted | Mural,"The Moon with hands clasped and a white disc in her headdress. Part of a larger mural depicting the Buddha of Blazing Light, Tejaprabha.",,86.36 cm,"Purchased from C. T. Loo, 1926"
C688.12,Mural Painting,https://www.penn.museum/collections/object/519277,https://www.penn.museum/collections/assets/300/243083.jpg,,Collections Storage,Chinese | Buddhist,China | Shanxi | Hongtong | Guangshengsi,,ca. 1476,Asian,Mud | Seeds | Straw | Leaves | Tempera,Mural | Painted,"Single panel from a wall mural depicting the chest and hand of the Medicine Buddha. Part of a larger mural depicting the Medicine Buddha, Bhaisajyaguru.",,177.8 cm,"Purchased from C. T. Loo, 1927"
C688.18,Mural Painting,https://www.penn.museum/collections/object/519290,https://www.penn.museum/collections/assets/300/243089.jpg,,Collections Storage,Chinese | Buddhist,China | Shanxi | Hongtong | Guangshengsi,,ca. 1476,Asian,Mud | Seeds | Straw | Leaves | Tempera,Mural | Painted,"Single panel from a wall mural depicting the feet of a Bodhisattva holding a flower and a worshipper with clasped hands. Part of a larger mural depicting the Medicine Buddha, Bhaisajyaguru.",,177.8 cm,"Purchased from C. T. Loo, 1927"
C688.16,Mural Painting,https://www.penn.museum/collections/object/519285,https://www.penn.museum/collections/assets/300/243087.jpg,,Collections Storage,Chinese | Buddhist,China | Shanxi | Hongtong | Guangshengsi,,ca. 1476,Asian,Mud | Seeds | Straw | Leaves | Tempera,Mural | Painted,"Single panel from a wall mural depicting the torso of a Bodhisattva holding a flower and the head of a worshipper.  Part of a larger mural depicting the Medicine Buddha, Bhaisajyaguru.",,177.8 cm,"Purchased from C. T. Loo, 1927"
C688.10,Mural Painting,https://www.penn.museum/collections/object/519275,https://www.penn.museum/collections/assets/300/243081.jpg,,Collections Storage,Chinese | Buddhist,China | Shanxi | Hongtong | Guangshengsi,,ca. 1476,Asian,Mud | Seeds | Straw | Leaves | Tempera,Mural | Painted,"Single panel from a wall mural depicting an Apsara at top in clouds with two Yaksa Generals below, one holding a staff. Part of a larger mural depicting the Medicine Buddha, Bhaisajyaguru.",,91.44 cm,"Purchased from C. T. Loo, 1927"
C688.7,Mural Painting,https://www.penn.museum/collections/object/519272,https://www.penn.museum/collections/assets/300/243078.jpg,,Collections Storage,Chinese | Buddhist,China | Shanxi | Hongtong | Guangshengsi,,ca. 1476,Asian,Mud | Seeds | Straw | Leaves | Tempera,Mural | Painted,"Single panel from a wall mural depicting the head of Candraprabha with the top of a khakkhara staff showing rings at the top. Part of a larger mural depicting the Medicine Buddha, Bhaisajyaguru.",,109.22 cm,"Purchased from C. T. Loo, 1927"
C688.6,Mural Painting,https://www.penn.museum/collections/object/519271,https://www.penn.museum/collections/assets/300/243077.jpg,,Collections Storage,Chinese | Buddhist,China | Shanxi | Hongtong | Guangshengsi,,ca. 1476,Asian,Mud | Seeds | Straw | Leaves | Tempera,Mural | Painted,"Single panel from a wall mural depicting the back of a Yaksa General holding a scepter and right side of a worshipper. Part of a larger mural depicting the Medicine Buddha, Bhaisajyaguru.",,119.38 cm,"Purchased from C. T. Loo, 1927"
C688.4,Mural Painting,https://www.penn.museum/collections/object/519245,https://www.penn.museum/collections/assets/300/243075.jpg,,Collections Storage,Chinese | Buddhist,China | Shanxi | Hongtong | Guangshengsi,,ca. 1476,Asian,Mud | Seeds | Straw | Leaves | Tempera,Mural | Painted,"Single panel from a wall mural depicting the right side of Candraprabha's headress and halo and the hair of a Yaksa General with clouds. Part of a larger mural depicting the Medicine Buddha, Bhaisajyaguru.",,119.38 cm,"Purchased from C. T. Loo, 1927"
C455,Fresco Fragment,https://www.penn.museum/collections/object/52537,https://www.penn.museum/collections/assets/300/349224.jpg,,Collections Storage,Chinese | Buddhist,China | Henan,,Late Song Dynasty - Yuan Dynasty,Asian,Paint | Stucco | Clay | Gypsum | Plaster,Fresco,Fragment of a fresco from a Buddhist temple wall painting.  A child stands holding a dish.  The figure is dressed in robes and his head is shaved.  Fresco is mounted and framed.,,,"Purchased from C. T. Loo, 1925"
C688.5,Mural Painting,https://www.penn.museum/collections/object/519269,https://www.penn.museum/collections/assets/300/243076.jpg,,Collections Storage,Chinese | Buddhist,China | Shanxi | Hongtong | Guangshengsi,,ca. 1476,Asian,Mud | Seeds | Straw | Leaves | Tempera,Mural | Painted,"Single panel from a wall mural depicting the right arm of Candraprabha with clouds in the middle and a Yaksa General hand holding a sword at the top and one with his back turned below. Part of a larger mural depicting the Medicine Buddha, Bhaisajyaguru.",,119.38 cm,"Purchased from C. T. Loo, 1927"
51-41-10,Thangka,https://www.penn.museum/collections/object/65414,https://www.penn.museum/collections/assets/300/208358.jpg,,Collections Storage,Tibetan | Buddhist,Tibet | Chengtu,,18th Century,Asian,Silk | Pigment,Painted,"Painting. Green Tara accompanied by the Twenty-one Taras of the Suryagupta Tradition.   The Five Dhyani Buddhas across the top;  pile of pearls, jewels and tusks as offerings, below. Background of old Szechuan silk. Three character inscription on the back.",,,"Gift of Schuyler V. R. Cammann, 1951"
40-35-1,Statue,https://www.penn.museum/collections/object/54106,https://www.penn.museum/collections/assets/300/89528.jpg,On Display,Asia Galleries - On Display,Chinese,China | Shanxi | Tianlongshan (uncertain),,700 - 750 CE,Asian,Limestone | Gesso | Paint | Gilding,Carved | Gesso | Painted | Gilded,"Coarse light grey limestone carved statue of Virūḍhaka or Zēngcháng Tiān (Chinese). This lokapala, or celestial guardian king is associated with one of the four directions and wears the traditional leather and quilted uniform of a Tang warrior. He is thought to represent the Guardian of the South.  The surface has traces of green, red and black painted and gilded gesso.  The low base has holes in the back for an attachment to the floor or wall. This statue was attributed to Tianlongshan when it was acquired but it is not certain if it came from that cave complex.",,,"Exchange with Yamanaka & Company, 1940"
C436,Textile,https://www.penn.museum/collections/object/126034,https://www.penn.museum/collections/assets/300/601815.jpg,,Collections Storage,Chinese,China | Guangdong,,1877-1878 CE,Asian,Silk (uncertain) | Textile,Embroidered,"Red embroidered runner. Red ground, with floral designs. Four chinese chracters, bordered on three sides with blue floral embroidery and black lining. Top edge is brown cotton, the reverse is also brown. The main Characters read: 帝德廣運 (The sovereign's virtue is everywhere in action). The right side text reads: 光緒三年歲次丁丑 (Third year of Guangxu and corresponding cyclical date = 1877/78). The left side reads: 弟子鄧燮梅敬送 (Respectful gift of student Deng Xiemei). There is a stamp on the back naming the embroidery workshop: 禪山 / 朝觀里 / 天寶造 (Made by the Tianbao (""Heaven's treasures"") workshop, Chaoguan neighborhood, Chanshan (= Foshan 佛山) ).",163 cm,64 cm,"Gift of Lily Place, 1925"
40-35-2,Statue,https://www.penn.museum/collections/object/54107,https://www.penn.museum/collections/assets/300/89551.jpg,On Display,Asia Galleries - On Display,Chinese,China | Shanxi | Tianlongshan (uncertain),,700 - 750 CE,Asian,Limestone | Gesso | Paint | Gilding,Carved | Gesso | Painted | Gilded,"Coarse light grey limestone carved statue of Kubera or Duowen Tian (Chinese), the Guardian King of the North.  This lokapala, or celestial guardian king is associated with one of the four directions and wears the traditional leather and quilted uniform of a Tang warrior. He is thought to represent the Guardian of the North. The surface of the statue has traces of green, red and black painted and gilded gesso. The low base has holes in the back for attachment to the floor or wall. This statue was attributed to Tianlongshan when it was acquired but it is not certain if it came from that cave complex.",,,"Exchange with Yamanaka & Company, 1940"
50-13-1A,Relief,https://www.penn.museum/collections/object/362313,https://www.penn.museum/collections/assets/300/76656.jpg,,Collections Storage,Chinese,China | Beijing,,16th Century - 18th Century,Asian,Hornbill Skull,High Relief | Carved,"Hornbill skull with 'Forehead' area carved in high relief.  Scene with four men in Chinese robes standing in foreground in a mountainous landscape. One of them holds a large fan.  Above them a seated man fishes from a high ledge. Buildings in background. Scene represents a historical event when the first king of the Zhou Dynasty discovers, in the guise of a humble fisherman, the brilliant statesman who was to help him win and keep his throne.  Sides and top of skull are red, rest of skull including carved area is natural color.  Single Chinese character written in black ink on bottom interior of skull.",,,"Purchased from H. Yatsuhashi, 1950"
29-238-8,Playing Card Deck,https://www.penn.museum/collections/object/215190,https://www.penn.museum/collections/assets/300/895622.jpg,,Collections Storage,Chinese,China | Beijing,,1889 - 1893,Asian,Paper | Ink,Printed,"""Stick cards"" or Gun Pai 棍牌. This type of deck contains money cards with three suits: 1-9 of cash, 1-9 of strings (of cash) and 1-9 of myriads (of strings) (wan), and three extra court cards. One of the court cards is the white flower card with 白支 Bai Zhi (white branch) at the top. Another is the Old Thousand card with 老千 Lao Qian (Old Thousand) at the top. The third court card has 益仁 Yi Ren (increase humaneness) at the top and a portrait of Wang Ying. The 1 of strings of cash has a fish on it with 張慎 Zhang Shen written on the body identifying the manufacturer as Zhang.  Pack of 120 rectangular playing cards.  Backs black.  Faces printed in black and sometimes also with red.",6.7 cm,1.7 cm,"Purchased from William Henry Wilkinson, 1903"
85-37-33,Rubbing,https://www.penn.museum/collections/object/110566,https://www.penn.museum/collections/assets/300/164652.jpg,,Collections Storage,Chinese,China | Sichuan | Leshan,,1930's,Asian,Ink | Rice Paper,,"Ceiling Structure with Various Animals and Figures from Tomb 8 of Shiziwan, Leshan.This rubbing is one of the more complicated in the collection due to the variety of depictions. On the right a bracket brace can be seen on which a serpent coils around its right bracket. Lower on the pole of the bracket, a sheng can be seen such as the one depicted in 85-37-52-a reference to Xiwangmu. On the lintel, a tiger and a dragon can be seen facing one another which is a common way of depicting those two directional animals. Between them sits an object that is difficult to distinguish, but  may be the turtle and snake style depiction of the tortoise of the north. Below the tiger, just to the left of the bracket stands an archer aiming at a bird which can be found on the lintel underneath the undulating body of the tiger. This may be a reference to the legendary archer Houyi  because of the appearance of the sheng and the toad on the far left below the dragon which when taken together evoke the connections between the sun, Houyi, and Xiwangmu. On the far left is a figure standing on his head which may be related to ways of warding off demons. Black ink on rice paper. From Han tomb reliefs.",,,"Gift of Anneliese Gutkind-Bulling, 1985"
